,count,mean,std,min,25%,50%,75%,max,var,skew,kurtosis
star_power,4129.0,362.9274884960039,171.17992764458378,0.0,252.9,356.2,455.4,1952.0,29302.567628404944,1.2079517363718841,7.205895204348517
adjusted_domestic_gross,4129.0,61.53826592395252,83.2661274360337,0.0,10.5,35.9,80.5,1431.8,6933.247978193804,4.421916585147128,41.54326139963567
adjusted_budget,4129.0,50.457011382901435,49.020716332269224,0.0,16.6,36.3,67.5,391.8,2403.0306297288066,1.93265602175689,5.008459845104456
