,count,mean,std,min,25%,50%,75%,max,var,skew,kurtosis
star_power,490.0,348.6124489795919,149.52577534648583,0.0,250.375,355.1,438.7,825.4,22357.95749296775,0.1633984913425715,0.21026858519689684
adjusted_domestic_gross,490.0,47.977142857142866,62.37477965503618,0.0,6.9,25.5,64.15,502.8,3890.613137014315,2.654043986304668,9.807358252704637
adjusted_budget,490.0,40.38530612244898,45.37526677357579,0.0,12.575,25.05,50.05,256.5,2058.914834773171,2.327134842411493,6.2145121745623
