,tconst,title,release_year,adjusted_domestic_gross,director_gender,has_oscar_cast,propensity_score,adjusted_budget,star_power,num_production_countries,num_spoken_languages,num_production_companies,genre_stereotypes
109,tt0357110,the ballad of jack and rose,2005,1.1,1,0,0.08937133354729129,2.4,345.4,1,1,4,0
110,tt0374536,bewitched,2005,101.9,1,1,0.029740627356664245,136.8,532.5,1,2,3,1
111,tt0429591,aquamarine,2006,29.0,1,0,0.04859438255389511,18.7,420.2,2,1,2,1
112,tt0422720,marie antoinette,2006,24.9,1,0,0.04034216993872277,62.4,666.3,3,3,6,1
113,tt0436331,friends with money,2006,20.8,1,1,0.09987056869826409,10.1,583.5,1,1,1,0
114,tt0424908,copying beethoven,2006,0.6,1,0,0.09175268460995496,17.2,279.7,4,2,7,0
115,tt0468526,old joy,2006,0.4,1,0,0.08931004497294828,0.5,8.4,1,1,3,0
116,tt0468489,half nelson,2006,4.2,1,0,0.08370692031021165,1.1,162.7,1,1,5,0
117,tt0455967,john tucker must die,2006,64.0,1,0,0.08284753175834314,28.1,204.4,2,1,5,0
118,tt0457308,come early morning,2006,0.2,1,0,0.08926904373109193,9.4,190.5,1,1,3,0
119,tt0457939,the holiday,2006,98.7,1,0,0.06134119036121608,132.6,428.5,1,2,4,0
120,tt0475298,hood of horror,2006,0.0,1,0,0.03976852288758892,7.8,126.7,1,2,5,1
121,tt0449059,little miss sunshine,2006,93.4,1,0,0.09091329791625913,12.5,380.5,1,1,3,0
122,tt0762121,the nativity story,2006,58.7,1,0,0.03922292559558572,54.6,425.4,1,2,3,1
123,tt0473308,waitress,2007,29.0,1,0,0.0980136341485502,2.3,394.9,1,1,2,0
124,tt0469623,things we lost in the fire,2007,5.0,1,1,0.09038794672821496,24.3,482.2,1,1,2,0
125,tt0489237,the nanny diaries,2007,39.3,1,0,0.08789920085815968,30.3,519.4,1,1,3,0
126,tt0496328,itty bitty titty committee,2007,0.0,1,0,0.09818040585766966,1.5,97.3,1,1,1,0
127,tt0426931,august rush,2007,48.0,1,1,0.08198211957201762,37.9,389.9,1,1,3,0
