title
Ant-Man and the Wasp: Quantumania
Doctor Strange in the Multiverse of Madness
Shang-Chi and the Legend of the Ten Rings
Captain America: The Winter Soldier
Captain America: The First Avenger
Star Wars: The Rise of Skywalker
Star Wars Ep. VIII: The Last Jedi
Star Wars Ep. VII: The Force Awakens
Star Wars Ep. III: Revenge of the Sith
Star Wars Ep. II: Attack of the Clones
Star Wars Ep. I: The Phantom Menace
Star Wars Ep. VI: Return of the Jedi
Star Wars Ep. V: The Empire Strikes Back
Batman v Superman: Dawn of Justice
Spider-Man: Across the Spider-Verse
Spider-Man: Into The Spider-Verse
Spider-Man/Men in Black II Double-Bill
Fantastic Beasts: The Secrets of Dumbledore
Fantastic Beasts: The Crimes of Grindelwald
Fantastic Beasts and Where to Find Them
Harry Potter and the Deathly Hallows
Harry Potter and the Half-Blood Prince
Harry Potter and the Order of the Phoenix
Harry Potter and the Goblet of Fire
Harry Potter and the Prisoner of Azkaban
Harry Potter and the Chamber of Secrets
Harry Potter and the Sorcerer’s Stone
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)
Star Trek VI: The Undiscovered Country
Star Trek V: The Final Frontier
Star Trek III: The Search for Spock
Star Trek II: The Wrath of Khan
The Hobbit: The Battle of the Five Armies
The Hobbit: The Desolation of Smaug
The Hobbit: An Unexpected Journey
Fast & Furious Presents: Hobbs & Shaw
The Fast and the Furious: Tokyo Drift
Indiana Jones and the Dial of Destiny
Indiana Jones and the Kingdom of the Crystal Skull
Indiana Jones and the Last Crusade
Indiana Jones and the Temple of Doom
Superman IV: The Quest for Peace
Transformers: Rise of the Beasts
Transformers: Age of Extinction
Transformers: Revenge of the Fallen
Pirates of the Caribbean: Dead Men Tell No Tales
Pirates of the Caribbean: On Stranger Tides
Pirates of the Caribbean: At World's End
Pirates of the Caribbean: The Curse of the Black Pearl
The Hunger Games: The Ballad of Songbirds & Snakes
The Hunger Games: Mockingjay
The Hunger Games: Catching Fire
Mission: Impossible Dead Reckoning Part One
Mission: Impossible—Rogue Nation
Mission: Impossible - Ghost Protocol
The Twilight Saga: Breaking Dawn
The Twilight Saga: Twilight
Kingdom of the Planet of the Apes
Godzilla x Kong: The New Empire
Dominion: Prequel to the Exorcist
Terminator 3: Rise of the Machines
Halloween: The Curse of Michael Myers
Halloween 5: The Revenge of Michael Myers
Halloween 4: The Return of Michael Myers
Halloween 3: Season of the Witch
Godzilla Minus One
The Mummy: Tomb of the Dragon Emperor
Jason Goes to Hell: The Final Friday
Friday the 13th Part VIII: Jason Takes Manhattan
Friday the 13th Part VII: The New Blood
Friday the 13th Part VI: Jason Lives
Friday the 13th Part V: A New Beginning
Friday the 13th Part IV: The Final Chapter
Madagascar 3: Europe's Most Wanted
Van Wilder Deux: The Rise of Taj
National Lampoon's Barely Legal
National Lampoon's Van Wilder
National Lampoon's European Vacation
National Lampoon's Class Reunion
The Conjuring: The Devil Made Me Do It
The Conjuring 2: The Enfield Poltergeist
Austin Powers: The Spy Who Shagged Me
Austin Powers: International Man of Mystery
Alvin and the Chipmunks: The Squeakquel
Alvin and the Chipmunks: Chipwrecked
Tyler Perry’s A Madea Family Funeral
Tyler Perry’s Boo 2! A Madea Halloween
Tyler Perry’s Boo! A Madea Halloween
Tyler Perry's A Madea Christmas
Tyler Perry's Madea's Witness Protection
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
The Chronicles of Narnia: Prince Caspian
Crocodile Dundee in Los Angeles
Freddy's Dead: The Final Nightmare
A Nightmare On Elm Street: The Dream Child
A Nightmare on Elm Street 4: The Dream Master
A Nightmare On Elm Street 3: Dream Warriors
A Nightmare on Elm Street Part 2: Freddy’s Revenge
Night at the Museum: Secret of the Tomb
Night at the Museum: Battle of the Smithsonian
The Santa Clause 3: The Escape Clause
The LEGO Movie 2: The Second Part
How to Train Your Dragon: The Hidden World
National Lampoon's Christmas Vacation
Police Academy 7: Mission to Moscow
Police Academy 6: City Under Siege
Police Academy 5: Assignment: Miami Beach
Police Academy 4: Citizens on Patrol
Police Academy 3: Back in Training
Police Academy 2: Their First Assignment
National Treasure: Book of Secrets
Spy Kids: All the Time in the World
Spy Kids 2: The Island of Lost Dreams
Hotel Transylvania 3: Summer Vacation
Charlie and the Chocolate Factory
Naked Gun 33 1/3: The Final Insult
The Naked Gun 2½: The Smell of Fear
The Naked Gun: From the Files of Police Squad!
John Wick: Chapter 3 - Parabellum
Alice Through the Looking Glass
Paranormal Activity: The Ghost Dimension
Paranormal Activity: The Marked Ones
Sherlock Holmes: A Game of Shadows
Fantastic Four: Rise of the Silver Surfer
Dumb and Dumberer: When Harry Met Lloyd
Charlie's Angels: Full Throttle
The Divergent Series: Allegiant
The Divergent Series: Insurgent
The Texas Chain Saw Massacre
Texas Chainsaw Massacre: Next Generation
Leatherface: Texas Chainsaw Massacre III
Lara Croft: Tomb Raider: The Cradle of Life
Scooby-Doo 2: Monsters Unleashed
City Slickers II: The Legend of Curly's Gold
Resident Evil: Welcome to Raccoon City
