franchise,franchise_transform,franchise_url
Halloween,Halloween,https://www.the-numbers.com/movies/franchise/Halloween#tab=summary
Jumanji,Jumanji,https://www.the-numbers.com/movies/franchise/Jumanji#tab=summary
Jack Ryan,Jack-Ryan,https://www.the-numbers.com/movies/franchise/Jack-Ryan#tab=summary
Inside Out,Inside-Out,https://www.the-numbers.com/movies/franchise/Inside-Out#tab=summary
Captain America,Captain-America,https://www.the-numbers.com/movies/franchise/Captain-America#tab=summary
Godzilla,Godzilla,https://www.the-numbers.com/movies/franchise/Godzilla#tab=summary
Jungle Book,Jungle-Book,https://www.the-numbers.com/movies/franchise/Jungle-Book#tab=summary
Frozen,Frozen,https://www.the-numbers.com/movies/franchise/Frozen#tab=summary
Hobbit The,Hobbit-The,https://www.the-numbers.com/movies/franchise/Hobbit-The#tab=summary
Die Hard,Die-Hard,https://www.the-numbers.com/movies/franchise/Die-Hard#tab=summary
Pink Panther,Pink-Panther,https://www.the-numbers.com/movies/franchise/Pink-Panther#tab=summary
Mummy,Mummy,https://www.the-numbers.com/movies/franchise/Mummy#tab=summary
Dirty Harry,Dirty-Harry,https://www.the-numbers.com/movies/franchise/Dirty-Harry#tab=summary
Meet the Parents,Meet-the-Parents,https://www.the-numbers.com/movies/franchise/Meet-the-Parents#tab=summary
Friday the 13th,Friday-the-13th,https://www.the-numbers.com/movies/franchise/Friday-the-13th#tab=summary
Madagascar,Madagascar,https://www.the-numbers.com/movies/franchise/Madagascar#tab=summary
National Lampoon,National-Lampoon,https://www.the-numbers.com/movies/franchise/National-Lampoon#tab=summary
Karate Kid,Karate-Kid,https://www.the-numbers.com/movies/franchise/Karate-Kid#tab=summary
Sting The,Sting-The,https://www.the-numbers.com/movies/franchise/Sting-The#tab=summary
Conjuring The,Conjuring-The,https://www.the-numbers.com/movies/franchise/Conjuring-The#tab=summary
Rush Hour,Rush-Hour,https://www.the-numbers.com/movies/franchise/Rush-Hour#tab=summary
Austin Powers,Austin-Powers,https://www.the-numbers.com/movies/franchise/Austin-Powers#tab=summary
Around the World in 80 Days,Around-the-World-in-80-Days,https://www.the-numbers.com/movies/franchise/Around-the-World-in-80-Days#tab=summary
Alvin and the Chipmunks,Alvin-and-the-Chipmunks,https://www.the-numbers.com/movies/franchise/Alvin-and-the-Chipmunks#tab=summary
Madea Cinematic Universe,Madea-Cinematic-Universe,https://www.the-numbers.com/movies/franchise/Madea-Cinematic-Universe#tab=summary
Kung Fu Panda,Kung-Fu-Panda,https://www.the-numbers.com/movies/franchise/Kung-Fu-Panda#tab=summary
Oceans Eleven,Oceans-Eleven,https://www.the-numbers.com/movies/franchise/Oceans-Eleven#tab=summary
Muppets,Muppets,https://www.the-numbers.com/movies/franchise/Muppets#tab=summary
Scream,Scream,https://www.the-numbers.com/movies/franchise/Scream#tab=summary
Smokey and the Bandit,Smokey-and-the-Bandit,https://www.the-numbers.com/movies/franchise/Smokey-and-the-Bandit#tab=summary
MonsterVerse,MonsterVerse,https://www.the-numbers.com/movies/franchise/MonsterVerse#tab=summary
Hangover,Hangover,https://www.the-numbers.com/movies/franchise/Hangover#tab=summary
Saturday Night Fever,Saturday-Night-Fever,https://www.the-numbers.com/movies/franchise/Saturday-Night-Fever#tab=summary
Hannibal Lecter,Hannibal-Lecter,https://www.the-numbers.com/movies/franchise/Hannibal-Lecter#tab=summary
Monsters Inc,Monsters-Inc,https://www.the-numbers.com/movies/franchise/Monsters-Inc#tab=summary
Rambo,Rambo,https://www.the-numbers.com/movies/franchise/Rambo#tab=summary
Herbie,Herbie,https://www.the-numbers.com/movies/franchise/Herbie#tab=summary
Independence Day,Independence-Day,https://www.the-numbers.com/movies/franchise/Independence-Day#tab=summary
Twister,Twister,https://www.the-numbers.com/movies/franchise/Twister#tab=summary
Cars,Cars,https://www.the-numbers.com/movies/franchise/Cars#tab=summary
Bad Boys,Bad-Boys,https://www.the-numbers.com/movies/franchise/Bad-Boys#tab=summary
Chronicles of Narnia,Chronicles-of-Narnia,https://www.the-numbers.com/movies/franchise/Chronicles-of-Narnia#tab=summary
Grease,Grease,https://www.the-numbers.com/movies/franchise/Grease#tab=summary
Scary Movie,Scary-Movie,https://www.the-numbers.com/movies/franchise/Scary-Movie#tab=summary
Crocodile Dundee,Crocodile-Dundee,https://www.the-numbers.com/movies/franchise/Crocodile-Dundee#tab=summary
Nightmare on Elm Street,Nightmare-on-Elm-Street,https://www.the-numbers.com/movies/franchise/Nightmare-on-Elm-Street#tab=summary
Hulk,Hulk,https://www.the-numbers.com/movies/franchise/Hulk#tab=summary
Night at the Museum,Night-at-the-Museum,https://www.the-numbers.com/movies/franchise/Night-at-the-Museum#tab=summary
Fantasia,Fantasia,https://www.the-numbers.com/movies/franchise/Fantasia#tab=summary
Man of Steel,Man-of-Steel,https://www.the-numbers.com/movies/franchise/Man-of-Steel#tab=summary
Saw,Saw,https://www.the-numbers.com/movies/franchise/Saw#tab=summary
Santa Clause,Santa-Clause,https://www.the-numbers.com/movies/franchise/Santa-Clause#tab=summary
Butch Cassidy and the Sundance Kid,Butch-Cassidy-and-the-Sundance-Kid,https://www.the-numbers.com/movies/franchise/Butch-Cassidy-and-the-Sundance-Kid#tab=summary
Moana,Moana,https://www.the-numbers.com/movies/franchise/Moana#tab=summary
American Pie,American-Pie,https://www.the-numbers.com/movies/franchise/American-Pie#tab=summary
Lego,Lego,https://www.the-numbers.com/movies/franchise/Lego#tab=summary
American Graffiti,American-Graffiti,https://www.the-numbers.com/movies/franchise/American-Graffiti#tab=summary
How to Train Your Dragon,How-to-Train-Your-Dragon,https://www.the-numbers.com/movies/franchise/How-to-Train-Your-Dragon#tab=summary
National Lampoons Vacation,National-Lampoons-Vacation,https://www.the-numbers.com/movies/franchise/National-Lampoons-Vacation#tab=summary
Police Academy,Police-Academy,https://www.the-numbers.com/movies/franchise/Police-Academy#tab=summary
Doctor Strange,Doctor-Strange,https://www.the-numbers.com/movies/franchise/Doctor-Strange#tab=summary
Ant-Man,Ant-Man,https://www.the-numbers.com/movies/franchise/Ant-Man#tab=summary
