franchise,franchise_transform,franchise_url
Lilo and Stitch,Lilo-and-Stitch,https://www.the-numbers.com/movies/franchise/Lilo-and-Stitch#tab=summary
Snow White and the Huntsman,Snow-White-and-the-Huntsman,https://www.the-numbers.com/movies/franchise/Snow-White-and-the-Huntsman#tab=summary
Flint,Flint,https://www.the-numbers.com/movies/franchise/Flint#tab=summary
Eddie Felson,Eddie-Felson,https://www.the-numbers.com/movies/franchise/Eddie-Felson#tab=summary
Garfield,Garfield,https://www.the-numbers.com/movies/franchise/Garfield#tab=summary
Neighbors,Neighbors,https://www.the-numbers.com/movies/franchise/Neighbors#tab=summary
Magic Mike,Magic-Mike,https://www.the-numbers.com/movies/franchise/Magic-Mike#tab=summary
Pet Sematary,Pet-Sematary,https://www.the-numbers.com/movies/franchise/Pet-Sematary#tab=summary
Thomas Crown Affair,Thomas-Crown-Affair,https://www.the-numbers.com/movies/franchise/Thomas-Crown-Affair#tab=summary
Blues Brothers,Blues-Brothers,https://www.the-numbers.com/movies/franchise/Blues-Brothers#tab=summary
I Know What You Did Last Summer,I-Know-What-You-Did-Last-Summer,https://www.the-numbers.com/movies/franchise/I-Know-What-You-Did-Last-Summer#tab=summary
Dumbo,Dumbo,https://www.the-numbers.com/movies/franchise/Dumbo#tab=summary
Death Wish,Death-Wish,https://www.the-numbers.com/movies/franchise/Death-Wish#tab=summary
Meg The,Meg-The,https://www.the-numbers.com/movies/franchise/Meg-The#tab=summary
Conan,Conan,https://www.the-numbers.com/movies/franchise/Conan#tab=summary
Red Curtain Trilogy The,Red-Curtain-Trilogy-The,https://www.the-numbers.com/movies/franchise/Red-Curtain-Trilogy-The#tab=summary
Ghost Rider,Ghost-Rider,https://www.the-numbers.com/movies/franchise/Ghost-Rider#tab=summary
Diary of a Wimpy Kid,Diary-of-a-Wimpy-Kid,https://www.the-numbers.com/movies/franchise/Diary-of-a-Wimpy-Kid#tab=summary
Crouching Tiger Hidden Dragon,Crouching-Tiger-Hidden-Dragon,https://www.the-numbers.com/movies/franchise/Crouching-Tiger-Hidden-Dragon#tab=summary
Hunchback of Notre Dame The,Hunchback-of-Notre-Dame-The,https://www.the-numbers.com/movies/franchise/Hunchback-of-Notre-Dame-The#tab=summary
Friday,Friday,https://www.the-numbers.com/movies/franchise/Friday#tab=summary
Hellboy,Hellboy,https://www.the-numbers.com/movies/franchise/Hellboy#tab=summary
Ernest,Ernest,https://www.the-numbers.com/movies/franchise/Ernest#tab=summary
Kill Bill,Kill-Bill,https://www.the-numbers.com/movies/franchise/Kill-Bill#tab=summary
Cats and Dogs,Cats-and-Dogs,https://www.the-numbers.com/movies/franchise/Cats-and-Dogs#tab=summary
Now You See Me,Now-You-See-Me,https://www.the-numbers.com/movies/franchise/Now-You-See-Me#tab=summary
Bridget Jones,Bridget-Jones,https://www.the-numbers.com/movies/franchise/Bridget-Jones#tab=summary
Riddick,Riddick,https://www.the-numbers.com/movies/franchise/Riddick#tab=summary
Kindergarten Cop,Kindergarten-Cop,https://www.the-numbers.com/movies/franchise/Kindergarten-Cop#tab=summary
Purple Rain,Purple-Rain,https://www.the-numbers.com/movies/franchise/Purple-Rain#tab=summary
Stakeout,Stakeout,https://www.the-numbers.com/movies/franchise/Stakeout#tab=summary
Fletch,Fletch,https://www.the-numbers.com/movies/franchise/Fletch#tab=summary
Horrible Bosses,Horrible-Bosses,https://www.the-numbers.com/movies/franchise/Horrible-Bosses#tab=summary
Young Guns,Young-Guns,https://www.the-numbers.com/movies/franchise/Young-Guns#tab=summary
Bad Moms,Bad-Moms,https://www.the-numbers.com/movies/franchise/Bad-Moms#tab=summary
Nun The,Nun-The,https://www.the-numbers.com/movies/franchise/Nun-The#tab=summary
X-Files,X-Files,https://www.the-numbers.com/movies/franchise/X-Files#tab=summary
Blade Runner,Blade-Runner,https://www.the-numbers.com/movies/franchise/Blade-Runner#tab=summary
Major League,Major-League,https://www.the-numbers.com/movies/franchise/Major-League#tab=summary
Shazam,Shazam,https://www.the-numbers.com/movies/franchise/Shazam#tab=summary
Shanghai Noon,Shanghai-Noon,https://www.the-numbers.com/movies/franchise/Shanghai-Noon#tab=summary
Are We There Yet?,Are-We-There-Yet?,https://www.the-numbers.com/movies/franchise/Are-We-There-Yet?#tab=summary
Shining The,Shining-The,https://www.the-numbers.com/movies/franchise/Shining-The#tab=summary
Kenneth Branagh s Hercule Poirot,Kenneth-Branagh-s-Hercule-Poirot,https://www.the-numbers.com/movies/franchise/Kenneth-Branagh-s-Hercule-Poirot#tab=summary
Marley and Me,Marley-and-Me,https://www.the-numbers.com/movies/franchise/Marley-and-Me#tab=summary
Percy Jackson,Percy-Jackson,https://www.the-numbers.com/movies/franchise/Percy-Jackson#tab=summary
Heat The,Heat-The,https://www.the-numbers.com/movies/franchise/Heat-The#tab=summary
Borat,Borat,https://www.the-numbers.com/movies/franchise/Borat#tab=summary
Untouchables,Untouchables,https://www.the-numbers.com/movies/franchise/Untouchables#tab=summary
Cloverfield,Cloverfield,https://www.the-numbers.com/movies/franchise/Cloverfield#tab=summary
Knives Out,Knives-Out,https://www.the-numbers.com/movies/franchise/Knives-Out#tab=summary
Think Like a Man,Think-Like-a-Man,https://www.the-numbers.com/movies/franchise/Think-Like-a-Man#tab=summary
Anaconda,Anaconda,https://www.the-numbers.com/movies/franchise/Anaconda#tab=summary
View Askewniverse,View-Askewniverse,https://www.the-numbers.com/movies/franchise/View-Askewniverse#tab=summary
Meatballs,Meatballs,https://www.the-numbers.com/movies/franchise/Meatballs#tab=summary
Daddy Day Care,Daddy-Day-Care,https://www.the-numbers.com/movies/franchise/Daddy-Day-Care#tab=summary
Crazy Rich Asians,Crazy-Rich-Asians,https://www.the-numbers.com/movies/franchise/Crazy-Rich-Asians#tab=summary
Pacific Rim,Pacific-Rim,https://www.the-numbers.com/movies/franchise/Pacific-Rim#tab=summary
AVP,AVP,https://www.the-numbers.com/movies/franchise/AVP#tab=summary
Megamind,Megamind,https://www.the-numbers.com/movies/franchise/Megamind#tab=summary
Problem Child,Problem-Child,https://www.the-numbers.com/movies/franchise/Problem-Child#tab=summary
Backdraft,Backdraft,https://www.the-numbers.com/movies/franchise/Backdraft#tab=summary
Babe,Babe,https://www.the-numbers.com/movies/franchise/Babe#tab=summary
Dirty Dancing,Dirty-Dancing,https://www.the-numbers.com/movies/franchise/Dirty-Dancing#tab=summary
Dodgeball,Dodgeball,https://www.the-numbers.com/movies/franchise/Dodgeball#tab=summary
Planes,Planes,https://www.the-numbers.com/movies/franchise/Planes#tab=summary
Blue Lagoon The,Blue-Lagoon-The,https://www.the-numbers.com/movies/franchise/Blue-Lagoon-The#tab=summary
Power Rangers,Power-Rangers,https://www.the-numbers.com/movies/franchise/Power-Rangers#tab=summary
Black Stallion,Black-Stallion,https://www.the-numbers.com/movies/franchise/Black-Stallion#tab=summary
Zombieland,Zombieland,https://www.the-numbers.com/movies/franchise/Zombieland#tab=summary
RED,RED,https://www.the-numbers.com/movies/franchise/RED#tab=summary
Evil Dead,Evil-Dead,https://www.the-numbers.com/movies/franchise/Evil-Dead#tab=summary
Revenge of the Nerds,Revenge-of-the-Nerds,https://www.the-numbers.com/movies/franchise/Revenge-of-the-Nerds#tab=summary
Species,Species,https://www.the-numbers.com/movies/franchise/Species#tab=summary
My Girl,My-Girl,https://www.the-numbers.com/movies/franchise/My-Girl#tab=summary
Wall Street,Wall-Street,https://www.the-numbers.com/movies/franchise/Wall-Street#tab=summary
Caddyshack,Caddyshack,https://www.the-numbers.com/movies/franchise/Caddyshack#tab=summary
American Tail,American-Tail,https://www.the-numbers.com/movies/franchise/American-Tail#tab=summary
Homeward Bound,Homeward-Bound,https://www.the-numbers.com/movies/franchise/Homeward-Bound#tab=summary
Fish Called Wanda A,Fish-Called-Wanda-A,https://www.the-numbers.com/movies/franchise/Fish-Called-Wanda-A#tab=summary
Transporter,Transporter,https://www.the-numbers.com/movies/franchise/Transporter#tab=summary
Gnomeo and Juliet,Gnomeo-and-Juliet,https://www.the-numbers.com/movies/franchise/Gnomeo-and-Juliet#tab=summary
American Werewolf,American-Werewolf,https://www.the-numbers.com/movies/franchise/American-Werewolf#tab=summary
Angry Birds,Angry-Birds,https://www.the-numbers.com/movies/franchise/Angry-Birds#tab=summary
Jack Reacher,Jack-Reacher,https://www.the-numbers.com/movies/franchise/Jack-Reacher#tab=summary
Peter Rabbit,Peter-Rabbit,https://www.the-numbers.com/movies/franchise/Peter-Rabbit#tab=summary
Smile,Smile,https://www.the-numbers.com/movies/franchise/Smile#tab=summary
Crow,Crow,https://www.the-numbers.com/movies/franchise/Crow#tab=summary
Flatliners,Flatliners,https://www.the-numbers.com/movies/franchise/Flatliners#tab=summary
Emperors New Groove The,Emperors-New-Groove-The,https://www.the-numbers.com/movies/franchise/Emperors-New-Groove-The#tab=summary
Peanuts,Peanuts,https://www.the-numbers.com/movies/franchise/Peanuts#tab=summary
Deuce Bigelow,Deuce-Bigelow,https://www.the-numbers.com/movies/franchise/Deuce-Bigelow#tab=summary
Short Circuit,Short-Circuit,https://www.the-numbers.com/movies/franchise/Short-Circuit#tab=summary
Breakin,Breakin,https://www.the-numbers.com/movies/franchise/Breakin#tab=summary
The Fox and the Hound,The-Fox-and-the-Hound,https://www.the-numbers.com/movies/franchise/The-Fox-and-the-Hound#tab=summary
Dark Universe,Dark-Universe,https://www.the-numbers.com/movies/franchise/Dark-Universe#tab=summary
El Mariachi,El-Mariachi,https://www.the-numbers.com/movies/franchise/El-Mariachi#tab=summary
Carrie,Carrie,https://www.the-numbers.com/movies/franchise/Carrie#tab=summary
Why Did I Get Married,Why-Did-I-Get-Married,https://www.the-numbers.com/movies/franchise/Why-Did-I-Get-Married#tab=summary
Scorpion King,Scorpion-King,https://www.the-numbers.com/movies/franchise/Scorpion-King#tab=summary
House Party,House-Party,https://www.the-numbers.com/movies/franchise/House-Party#tab=summary
Brady Bunch,Brady-Bunch,https://www.the-numbers.com/movies/franchise/Brady-Bunch#tab=summary
Ripley,Ripley,https://www.the-numbers.com/movies/franchise/Ripley#tab=summary
Best Man The,Best-Man-The,https://www.the-numbers.com/movies/franchise/Best-Man-The#tab=summary
Candyman,Candyman,https://www.the-numbers.com/movies/franchise/Candyman#tab=summary
Wonder,Wonder,https://www.the-numbers.com/movies/franchise/Wonder#tab=summary
Pee Wee,Pee-Wee,https://www.the-numbers.com/movies/franchise/Pee-Wee#tab=summary
Winnie the Pooh,Winnie-the-Pooh,https://www.the-numbers.com/movies/franchise/Winnie-the-Pooh#tab=summary
Fly,Fly,https://www.the-numbers.com/movies/franchise/Fly#tab=summary
Escape from New York,Escape-from-New-York,https://www.the-numbers.com/movies/franchise/Escape-from-New-York#tab=summary
Downton Abbey,Downton-Abbey,https://www.the-numbers.com/movies/franchise/Downton-Abbey#tab=summary
Chinatown,Chinatown,https://www.the-numbers.com/movies/franchise/Chinatown#tab=summary
Bean,Bean,https://www.the-numbers.com/movies/franchise/Bean#tab=summary
Unbroken,Unbroken,https://www.the-numbers.com/movies/franchise/Unbroken#tab=summary
Goosebumps,Goosebumps,https://www.the-numbers.com/movies/franchise/Goosebumps#tab=summary
Millennium (English),Millennium-(English),https://www.the-numbers.com/movies/franchise/Millennium-(English)#tab=summary
Deep Blue Sea,Deep-Blue-Sea,https://www.the-numbers.com/movies/franchise/Deep-Blue-Sea#tab=summary
Dolphin Tale,Dolphin-Tale,https://www.the-numbers.com/movies/franchise/Dolphin-Tale#tab=summary
Brother Bear,Brother-Bear,https://www.the-numbers.com/movies/franchise/Brother-Bear#tab=summary
Mean Girls,Mean-Girls,https://www.the-numbers.com/movies/franchise/Mean-Girls#tab=summary
Jingle All the Way,Jingle-All-the-Way,https://www.the-numbers.com/movies/franchise/Jingle-All-the-Way#tab=summary
Paddington,Paddington,https://www.the-numbers.com/movies/franchise/Paddington#tab=summary
Hollow Man,Hollow-Man,https://www.the-numbers.com/movies/franchise/Hollow-Man#tab=summary
Dont Breathe,Dont-Breathe,https://www.the-numbers.com/movies/franchise/Dont-Breathe#tab=summary
Strangers The,Strangers-The,https://www.the-numbers.com/movies/franchise/Strangers-The#tab=summary
Whole Nine Yards,Whole-Nine-Yards,https://www.the-numbers.com/movies/franchise/Whole-Nine-Yards#tab=summary
Sin City,Sin-City,https://www.the-numbers.com/movies/franchise/Sin-City#tab=summary
Beverly Hills Chihuahua,Beverly-Hills-Chihuahua,https://www.the-numbers.com/movies/franchise/Beverly-Hills-Chihuahua#tab=summary
Jeepers Creepers,Jeepers-Creepers,https://www.the-numbers.com/movies/franchise/Jeepers-Creepers#tab=summary
Open Season,Open-Season,https://www.the-numbers.com/movies/franchise/Open-Season#tab=summary
Last Picture Show,Last-Picture-Show,https://www.the-numbers.com/movies/franchise/Last-Picture-Show#tab=summary
Un homme et une femme,Un-homme-et-une-femme,https://www.the-numbers.com/movies/franchise/Un-homme-et-une-femme#tab=summary
Five Nights at Freddys,Five-Nights-at-Freddys,https://www.the-numbers.com/movies/franchise/Five-Nights-at-Freddys#tab=summary
Road Trip,Road-Trip,https://www.the-numbers.com/movies/franchise/Road-Trip#tab=summary
Bring It On,Bring-It-On,https://www.the-numbers.com/movies/franchise/Bring-It-On#tab=summary
High School Musical,High-School-Musical,https://www.the-numbers.com/movies/franchise/High-School-Musical#tab=summary
Bad Grandpa,Bad-Grandpa,https://www.the-numbers.com/movies/franchise/Bad-Grandpa#tab=summary
Dukes of Hazzard,Dukes-of-Hazzard,https://www.the-numbers.com/movies/franchise/Dukes-of-Hazzard#tab=summary
Edge of Tomorrow,Edge-of-Tomorrow,https://www.the-numbers.com/movies/franchise/Edge-of-Tomorrow#tab=summary
Sisterhood of the Traveling Pants,Sisterhood-of-the-Traveling-Pants,https://www.the-numbers.com/movies/franchise/Sisterhood-of-the-Traveling-Pants#tab=summary
Hitmans Bodguard The,Hitmans-Bodguard-The,https://www.the-numbers.com/movies/franchise/Hitmans-Bodguard-The#tab=summary
Urban Legend,Urban-Legend,https://www.the-numbers.com/movies/franchise/Urban-Legend#tab=summary
Bad Santa,Bad-Santa,https://www.the-numbers.com/movies/franchise/Bad-Santa#tab=summary
Starship Troopers,Starship-Troopers,https://www.the-numbers.com/movies/franchise/Starship-Troopers#tab=summary
Land Before Time The,Land-Before-Time-The,https://www.the-numbers.com/movies/franchise/Land-Before-Time-The#tab=summary
Hellraiser,Hellraiser,https://www.the-numbers.com/movies/franchise/Hellraiser#tab=summary
Agent Cody Banks,Agent-Cody-Banks,https://www.the-numbers.com/movies/franchise/Agent-Cody-Banks#tab=summary
28 Days Later,28-Days-Later,https://www.the-numbers.com/movies/franchise/28-Days-Later#tab=summary
Dragonheart,Dragonheart,https://www.the-numbers.com/movies/franchise/Dragonheart#tab=summary
Dollar Trilogy,Dollar-Trilogy,https://www.the-numbers.com/movies/franchise/Dollar-Trilogy#tab=summary
Teen Wolf,Teen-Wolf,https://www.the-numbers.com/movies/franchise/Teen-Wolf#tab=summary
Zoolander,Zoolander,https://www.the-numbers.com/movies/franchise/Zoolander#tab=summary
Missing in Action,Missing-in-Action,https://www.the-numbers.com/movies/franchise/Missing-in-Action#tab=summary
Rocketeer The,Rocketeer-The,https://www.the-numbers.com/movies/franchise/Rocketeer-The#tab=summary
Sicario,Sicario,https://www.the-numbers.com/movies/franchise/Sicario#tab=summary
Nut Job The,Nut-Job-The,https://www.the-numbers.com/movies/franchise/Nut-Job-The#tab=summary
Timecop,Timecop,https://www.the-numbers.com/movies/franchise/Timecop#tab=summary
Nanny McPhee,Nanny-McPhee,https://www.the-numbers.com/movies/franchise/Nanny-McPhee#tab=summary
Gods Not Dead,Gods-Not-Dead,https://www.the-numbers.com/movies/franchise/Gods-Not-Dead#tab=summary
Universal Soldier,Universal-Soldier,https://www.the-numbers.com/movies/franchise/Universal-Soldier#tab=summary
Weekend at Bernies,Weekend-at-Bernies,https://www.the-numbers.com/movies/franchise/Weekend-at-Bernies#tab=summary
FX,FX,https://www.the-numbers.com/movies/franchise/FX#tab=summary
Mannequin,Mannequin,https://www.the-numbers.com/movies/franchise/Mannequin#tab=summary
Highlander,Highlander,https://www.the-numbers.com/movies/franchise/Highlander#tab=summary
Creepshow,Creepshow,https://www.the-numbers.com/movies/franchise/Creepshow#tab=summary
White Fang,White-Fang,https://www.the-numbers.com/movies/franchise/White-Fang#tab=summary
NeverEnding Story,NeverEnding-Story,https://www.the-numbers.com/movies/franchise/NeverEnding-Story#tab=summary
Behind Enemy Lines,Behind-Enemy-Lines,https://www.the-numbers.com/movies/franchise/Behind-Enemy-Lines#tab=summary
I Can Only Imagine,I-Can-Only-Imagine,https://www.the-numbers.com/movies/franchise/I-Can-Only-Imagine#tab=summary
Ouija,Ouija,https://www.the-numbers.com/movies/franchise/Ouija#tab=summary
Man from Snowy River,Man-from-Snowy-River,https://www.the-numbers.com/movies/franchise/Man-from-Snowy-River#tab=summary
3 Ninjas,3-Ninjas,https://www.the-numbers.com/movies/franchise/3-Ninjas#tab=summary
Woman in Black The,Woman-in-Black-The,https://www.the-numbers.com/movies/franchise/Woman-in-Black-The#tab=summary
Gods Must Be Crazy,Gods-Must-Be-Crazy,https://www.the-numbers.com/movies/franchise/Gods-Must-Be-Crazy#tab=summary
Paw Patrol,Paw-Patrol,https://www.the-numbers.com/movies/franchise/Paw-Patrol#tab=summary
Accountant The,Accountant-The,https://www.the-numbers.com/movies/franchise/Accountant-The#tab=summary
Hostel,Hostel,https://www.the-numbers.com/movies/franchise/Hostel#tab=summary
Jarhead ,Jarhead,https://www.the-numbers.com/movies/franchise/Jarhead#tab=summary
Tintin,Tintin,https://www.the-numbers.com/movies/franchise/Tintin#tab=summary
Best Exotic Marigold Hotel,Best-Exotic-Marigold-Hotel,https://www.the-numbers.com/movies/franchise/Best-Exotic-Marigold-Hotel#tab=summary
Dogs Purpose A,Dogs-Purpose-A,https://www.the-numbers.com/movies/franchise/Dogs-Purpose-A#tab=summary
Kick-Ass,Kick-Ass,https://www.the-numbers.com/movies/franchise/Kick-Ass#tab=summary
Iron Eagle,Iron-Eagle,https://www.the-numbers.com/movies/franchise/Iron-Eagle#tab=summary
Hills Have Eyes,Hills-Have-Eyes,https://www.the-numbers.com/movies/franchise/Hills-Have-Eyes#tab=summary
Silent Hill,Silent-Hill,https://www.the-numbers.com/movies/franchise/Silent-Hill#tab=summary
Without a Paddle,Without-a-Paddle,https://www.the-numbers.com/movies/franchise/Without-a-Paddle#tab=summary
Butterfly Effect,Butterfly-Effect,https://www.the-numbers.com/movies/franchise/Butterfly-Effect#tab=summary
Happy Death Day,Happy-Death-Day,https://www.the-numbers.com/movies/franchise/Happy-Death-Day#tab=summary
Care Bears,Care-Bears,https://www.the-numbers.com/movies/franchise/Care-Bears#tab=summary
Bad Guys The,Bad-Guys-The,https://www.the-numbers.com/movies/franchise/Bad-Guys-The#tab=summary
Street Fighter,Street-Fighter,https://www.the-numbers.com/movies/franchise/Street-Fighter#tab=summary
Book Club,Book-Club,https://www.the-numbers.com/movies/franchise/Book-Club#tab=summary
Benchwarmers,Benchwarmers,https://www.the-numbers.com/movies/franchise/Benchwarmers#tab=summary
Hoodwinked,Hoodwinked,https://www.the-numbers.com/movies/franchise/Hoodwinked#tab=summary
Wallace and Gromit,Wallace-and-Gromit,https://www.the-numbers.com/movies/franchise/Wallace-and-Gromit#tab=summary
Curious George,Curious-George,https://www.the-numbers.com/movies/franchise/Curious-George#tab=summary
Three Flavours Cornetto Trilogy,Three-Flavours-Cornetto-Trilogy,https://www.the-numbers.com/movies/franchise/Three-Flavours-Cornetto-Trilogy#tab=summary
Stomp the Yard,Stomp-the-Yard,https://www.the-numbers.com/movies/franchise/Stomp-the-Yard#tab=summary
Carlitos Way,Carlitos-Way,https://www.the-numbers.com/movies/franchise/Carlitos-Way#tab=summary
M3GAN,M3GAN,https://www.the-numbers.com/movies/franchise/M3GAN#tab=summary
Willard,Willard,https://www.the-numbers.com/movies/franchise/Willard#tab=summary
Monty Python,Monty-Python,https://www.the-numbers.com/movies/franchise/Monty-Python#tab=summary
White Noise,White-Noise,https://www.the-numbers.com/movies/franchise/White-Noise#tab=summary
Happy Gilmore,Happy-Gilmore,https://www.the-numbers.com/movies/franchise/Happy-Gilmore#tab=summary
Escape Room,Escape-Room,https://www.the-numbers.com/movies/franchise/Escape-Room#tab=summary
Elizabeth,Elizabeth,https://www.the-numbers.com/movies/franchise/Elizabeth#tab=summary
Black Phone The,Black-Phone-The,https://www.the-numbers.com/movies/franchise/Black-Phone-The#tab=summary
Surf s Up,Surf-s-Up,https://www.the-numbers.com/movies/franchise/Surf-s-Up#tab=summary
All Dogs Go To Heaven,All-Dogs-Go-To-Heaven,https://www.the-numbers.com/movies/franchise/All-Dogs-Go-To-Heaven#tab=summary
Hitman Agent 47,Hitman-Agent-47,https://www.the-numbers.com/movies/franchise/Hitman-Agent-47#tab=summary
Lost Boys,Lost-Boys,https://www.the-numbers.com/movies/franchise/Lost-Boys#tab=summary
George A. Romeros Dead Series,George-A.-Romeros-Dead-Series,https://www.the-numbers.com/movies/franchise/George-A.-Romeros-Dead-Series#tab=summary
Cinderella Story A,Cinderella-Story-A,https://www.the-numbers.com/movies/franchise/Cinderella-Story-A#tab=summary
Lawnmower Man,Lawnmower-Man,https://www.the-numbers.com/movies/franchise/Lawnmower-Man#tab=summary
Den of Thieves,Den-of-Thieves,https://www.the-numbers.com/movies/franchise/Den-of-Thieves#tab=summary
Captain Underpants,Captain-Underpants,https://www.the-numbers.com/movies/franchise/Captain-Underpants#tab=summary
Big Fat Liar,Big-Fat-Liar,https://www.the-numbers.com/movies/franchise/Big-Fat-Liar#tab=summary
Demon Slayer Kimetsu no Yaiba,Demon-Slayer-Kimetsu-no-Yaiba,https://www.the-numbers.com/movies/franchise/Demon-Slayer-Kimetsu-no-Yaiba#tab=summary
Demon Slayer,Demon-Slayer,https://www.the-numbers.com/movies/franchise/Demon-Slayer#tab=summary
House on Haunted Hill,House-on-Haunted-Hill,https://www.the-numbers.com/movies/franchise/House-on-Haunted-Hill#tab=summary
Hot Tub Time Machine,Hot-Tub-Time-Machine,https://www.the-numbers.com/movies/franchise/Hot-Tub-Time-Machine#tab=summary
The Sandlot,The-Sandlot,https://www.the-numbers.com/movies/franchise/The-Sandlot#tab=summary
Air Bud,Air-Bud,https://www.the-numbers.com/movies/franchise/Air-Bud#tab=summary
Darkman,Darkman,https://www.the-numbers.com/movies/franchise/Darkman#tab=summary
House,House,https://www.the-numbers.com/movies/franchise/House#tab=summary
Fright Night,Fright-Night,https://www.the-numbers.com/movies/franchise/Fright-Night#tab=summary
Cop and a Half,Cop-and-a-Half,https://www.the-numbers.com/movies/franchise/Cop-and-a-Half#tab=summary
Haunting in Connecticut,Haunting-in-Connecticut,https://www.the-numbers.com/movies/franchise/Haunting-in-Connecticut#tab=summary
47 Meters Down,47-Meters-Down,https://www.the-numbers.com/movies/franchise/47-Meters-Down#tab=summary
Dragon Ball,Dragon-Ball,https://www.the-numbers.com/movies/franchise/Dragon-Ball#tab=summary
Boogeyman,Boogeyman,https://www.the-numbers.com/movies/franchise/Boogeyman#tab=summary
Last Exorcism The,Last-Exorcism-The,https://www.the-numbers.com/movies/franchise/Last-Exorcism-The#tab=summary
Haunted House A,Haunted-House-A,https://www.the-numbers.com/movies/franchise/Haunted-House-A#tab=summary
Blue Crush,Blue-Crush,https://www.the-numbers.com/movies/franchise/Blue-Crush#tab=summary
Thing The,Thing-The,https://www.the-numbers.com/movies/franchise/Thing-The#tab=summary
Baby Geniuses,Baby-Geniuses,https://www.the-numbers.com/movies/franchise/Baby-Geniuses#tab=summary
Angel,Angel,https://www.the-numbers.com/movies/franchise/Angel#tab=summary
Nims Island,Nims-Island,https://www.the-numbers.com/movies/franchise/Nims-Island#tab=summary
Super Troopers,Super-Troopers,https://www.the-numbers.com/movies/franchise/Super-Troopers#tab=summary
Punisher,Punisher,https://www.the-numbers.com/movies/franchise/Punisher#tab=summary
Howling The,Howling-The,https://www.the-numbers.com/movies/franchise/Howling-The#tab=summary
You Got Served,You-Got-Served,https://www.the-numbers.com/movies/franchise/You-Got-Served#tab=summary
Wild Things,Wild-Things,https://www.the-numbers.com/movies/franchise/Wild-Things#tab=summary
Return of the Living Dead,Return-of-the-Living-Dead,https://www.the-numbers.com/movies/franchise/Return-of-the-Living-Dead#tab=summary
Lake Placid,Lake-Placid,https://www.the-numbers.com/movies/franchise/Lake-Placid#tab=summary
Viva Pedro Box,Viva-Pedro-Box,https://www.the-numbers.com/movies/franchise/Viva-Pedro-Box#tab=summary
VeggieTales,VeggieTales,https://www.the-numbers.com/movies/franchise/VeggieTales#tab=summary
Johnny English,Johnny-English,https://www.the-numbers.com/movies/franchise/Johnny-English#tab=summary
Mechanic The,Mechanic-The,https://www.the-numbers.com/movies/franchise/Mechanic-The#tab=summary
Tales from the Crypt,Tales-from-the-Crypt,https://www.the-numbers.com/movies/franchise/Tales-from-the-Crypt#tab=summary
Terrifier,Terrifier,https://www.the-numbers.com/movies/franchise/Terrifier#tab=summary
Crank,Crank,https://www.the-numbers.com/movies/franchise/Crank#tab=summary
Children of the Corn,Children-of-the-Corn,https://www.the-numbers.com/movies/franchise/Children-of-the-Corn#tab=summary
Delta Force,Delta-Force,https://www.the-numbers.com/movies/franchise/Delta-Force#tab=summary
Searching,Searching,https://www.the-numbers.com/movies/franchise/Searching#tab=summary
30 Days of Night,30-Days-of-Night,https://www.the-numbers.com/movies/franchise/30-Days-of-Night#tab=summary
Prom Night,Prom-Night,https://www.the-numbers.com/movies/franchise/Prom-Night#tab=summary
Chosen The,Chosen-The,https://www.the-numbers.com/movies/franchise/Chosen-The#tab=summary
The Art of War,The-Art-of-War,https://www.the-numbers.com/movies/franchise/The-Art-of-War#tab=summary
Mimic,Mimic,https://www.the-numbers.com/movies/franchise/Mimic#tab=summary
Ninja,Ninja,https://www.the-numbers.com/movies/franchise/Ninja#tab=summary
Boy The,Boy-The,https://www.the-numbers.com/movies/franchise/Boy-The#tab=summary
Tom and Jerry,Tom-and-Jerry,https://www.the-numbers.com/movies/franchise/Tom-and-Jerry#tab=summary
Allan Quatermain,Allan-Quatermain,https://www.the-numbers.com/movies/franchise/Allan-Quatermain#tab=summary
Smokin Aces,Smokin-Aces,https://www.the-numbers.com/movies/franchise/Smokin-Aces#tab=summary
Good Burger,Good-Burger,https://www.the-numbers.com/movies/franchise/Good-Burger#tab=summary
Max,Max,https://www.the-numbers.com/movies/franchise/Max#tab=summary
Death Race,Death-Race,https://www.the-numbers.com/movies/franchise/Death-Race#tab=summary
Johnson Family,Johnson-Family,https://www.the-numbers.com/movies/franchise/Johnson-Family#tab=summary
Honey,Honey,https://www.the-numbers.com/movies/franchise/Honey#tab=summary
Open Water,Open-Water,https://www.the-numbers.com/movies/franchise/Open-Water#tab=summary
Clerks,Clerks,https://www.the-numbers.com/movies/franchise/Clerks#tab=summary
Unfriended,Unfriended,https://www.the-numbers.com/movies/franchise/Unfriended#tab=summary
Joe Dirt,Joe-Dirt,https://www.the-numbers.com/movies/franchise/Joe-Dirt#tab=summary
House of 1000 Corpses,House-of-1000-Corpses,https://www.the-numbers.com/movies/franchise/House-of-1000-Corpses#tab=summary
Gettysburg,Gettysburg,https://www.the-numbers.com/movies/franchise/Gettysburg#tab=summary
47 Ronin,47-Ronin,https://www.the-numbers.com/movies/franchise/47-Ronin#tab=summary
Quarantine,Quarantine,https://www.the-numbers.com/movies/franchise/Quarantine#tab=summary
Cirque du Soleil,Cirque-du-Soleil,https://www.the-numbers.com/movies/franchise/Cirque-du-Soleil#tab=summary
Machete,Machete,https://www.the-numbers.com/movies/franchise/Machete#tab=summary
Van Wilder,Van-Wilder,https://www.the-numbers.com/movies/franchise/Van-Wilder#tab=summary
