name,domestic_gross,num_movies,avg_gross
adrienne smith,27807627.0,1,27807627.0
adrienne warren,67328130.0,1,67328130.0
adrienne wilkinson,3453.0,2,1726.5
adrienne wilson,350741.0,1,350741.0
adriennejoi johnson,14545844.0,1,14545844.0
adriyan rae,20537137.0,1,20537137.0
adwin brown,95643.0,1,95643.0
aedin mincks,496370065.0,4,124092516.25
aedin moloney,58883840.0,1,58883840.0
aengus james,132675402.0,1,132675402.0
aenne schwarz,78373.0,1,78373.0
aeriel miranda,234454830.0,2,117227415.0
aesha ash,17200925.0,1,17200925.0
aeshea patel,36447959.0,1,36447959.0
afanasiy kylaev,35179.0,1,35179.0
afemo omilami,962293712.0,12,80191142.66666667
affion crockett,351341938.0,12,29278494.833333332
afi ekulona,20150241.0,1,20150241.0
afi mcclendon,8094616.0,1,8094616.0
afif ben badra,230378288.0,3,76792762.66666667
afif benbedra,282144358.0,1,282144358.0
afonda colbert,14843425.0,1,14843425.0
afonso pimentel,110507.0,1,110507.0
afra tully,50856010.0,1,50856010.0
afram bill williams,183875760.0,1,183875760.0
afrika islam,12396383.0,1,12396383.0
afrodyta weselak,3827060.0,1,3827060.0
afshan azad,1562459028.0,5,312491805.6
afsheen olyaie,50188370.0,1,50188370.0
afsoun yazdian,32003620.0,1,32003620.0
afton smith,12396383.0,1,12396383.0
afton williamson,18620000.0,2,9310000.0
aga frary,59650222.0,1,59650222.0
agam darshi,86345977.0,4,21586494.25
agani gecmez,12486858.0,2,6243429.0
agata buzek,2328203.0,5,465640.6
agata kulesza,9488822.0,6,1581470.3333333333
agata trzebuchowska,3827060.0,1,3827060.0
agatha christine celleri,104963598.0,1,104963598.0
agatha ezzedine,355559216.0,1,355559216.0
agathe de la fontaine,5990075.0,1,5990075.0
agathe dronne,73725.0,1,73725.0
agathe natanson,1373975.0,1,1373975.0
agathe peigney,63802.0,1,63802.0
agathe rousselle,1442988.0,1,1442988.0
agga olsen,2221994.0,1,2221994.0
aggelos papadimitriou,3181.0,1,3181.0
