imdb_id,title,release_year,budget,production_companies,production_countries,spoken_languages
tt1049413,Up,2009,175000000,Pixar,United States of America,English
tt0478970,Ant-Man,2015,130000000,Marvel Studios,United States of America,English
tt0068646,The Godfather,1972,6000000,"Paramount, Alfran Productions",United States of America,"English, Italian, Latin"
tt3659388,The Martian,2015,108000000,"Scott Free Productions, Genre Films","United Kingdom, United States of America","English, Mandarin"
tt0088763,Back to the Future,1985,19000000,"Universal Pictures, Amblin Entertainment",United States of America,English
tt2488496,Star Wars: The Force Awakens,2015,245000000,"Lucasfilm Ltd., Bad Robot",United States of America,English
tt10872600,Spider-Man: No Way Home,2021,200000000,"Marvel Studios, Pascal Pictures, Columbia Pictures",United States of America,"English, Tagalog"
tt0373889,Harry Potter and the Order of the Phoenix,2007,150000000,"Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America",English
tt0417741,Harry Potter and the Half-Blood Prince,2009,250000000,"Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America",English
tt3315342,Logan,2017,97000000,"Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox",United States of America,"English, Spanish"
tt0266543,Finding Nemo,2003,94000000,Pixar,United States of America,English
tt1396484,It,2017,40000000,"New Line Cinema, Vertigo Entertainment, Lin Pictures, KatzSmith Productions",United States of America,English
tt2911666,John Wick,2014,20000000,"87Eleven, DefyNite Films, MJW Films, Thunder Road",United States of America,"Hungarian, English, Russian"
tt3183660,Fantastic Beasts and Where to Find Them,2016,180000000,"Heyday Films, Warner Bros. Pictures","United Kingdom, United States of America",English
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,250000000,"Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America",English
tt2380307,Coco,2017,175000000,"Pixar, Walt Disney Pictures",United States of America,"English, Spanish"
tt1843866,Captain America: The Winter Soldier,2014,170000000,Marvel Studios,United States of America,English
tt0145487,Spider-Man,2002,139000000,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",United States of America,English
tt0910970,WALL·E,2008,180000000,"Pixar, Walt Disney Pictures",United States of America,English
tt2267998,Gone Girl,2014,61000000,"Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood, 20th Century Fox",United States of America,English
tt0903624,The Hobbit: An Unexpected Journey,2012,250000000,"Warner Bros. Pictures, Metro-Goldwyn-Mayer, New Line Cinema, WingNut Films","New Zealand, United States of America",English
tt0198781,"Monsters, Inc.",2001,115000000,Pixar,United States of America,English
tt0114709,Toy Story,1995,30000000,Pixar,United States of America,English
tt1663202,The Revenant,2015,135000000,"Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment","Canada, Hong Kong, Taiwan, United States of America","English, French"
tt2975590,Batman v Superman: Dawn of Justice,2016,250000000,"Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, Cruel & Unusual Films, DC Entertainment, Syncopy","Canada, United Kingdom, United States of America",English
tt0110357,The Lion King,1994,45000000,"Walt Disney Pictures, Walt Disney Feature Animation",United States of America,English
tt0172495,Gladiator,2000,103000000,"Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz, DreamWorks Pictures","United Kingdom, United States of America",English
tt0120382,The Truman Show,1998,60000000,"Paramount, Scott Rudin Productions",United States of America,English
tt0317705,The Incredibles,2004,92000000,"Pixar, Walt Disney Pictures",United States of America,"French, English"
tt2543164,Arrival,2016,47000000,"FilmNation Entertainment, Lava Bear Films, Reliance Entertainment, Xenolinguistics, 21 Laps Entertainment, Paramount, Stage 6 Films","Canada, India, United States of America","Mandarin, English, Russian"
tt1981115,Thor: The Dark World,2013,170000000,Marvel Studios,United States of America,English
tt0948470,The Amazing Spider-Man,2012,215000000,"Marvel Entertainment, Laura Ziskin Productions, Columbia Pictures, Matt Tolmach Productions, Arad Productions",United States of America,English
tt4972582,Split,2017,9000000,"Universal Pictures, Blinding Edge Pictures, Blumhouse Productions",United States of America,English
tt5463162,Deadpool 2,2018,110000000,"Maximum Effort, Genre Films, 20th Century Fox",United States of America,"Cantonese, English, Russian, Spanish"
tt0081505,The Shining,1980,19000000,"Hawk Films, Peregrine, Producers Circle, Warner Bros. Pictures","United Kingdom, United States of America",English
tt0266697,Kill Bill: Vol. 1,2003,30000000,"Miramax, A Band Apart, Super Cool ManChu",United States of America,"English, Japanese, French"
tt1951264,The Hunger Games: Catching Fire,2013,130000000,"Lionsgate, Color Force",United States of America,English
tt5052448,Get Out,2017,4500000,"Monkeypaw Productions, Blumhouse Productions, QC Entertainment",United States of America,English
tt2084970,The Imitation Game,2014,14000000,"Bristol Automotive, Black Bear Pictures, The Weinstein Company, FilmNation Entertainment","United Kingdom, United States of America",English
tt1727824,Bohemian Rhapsody,2018,52000000,"GK Films, Regency Enterprises, Queen Films, Tribeca Productions, New Regency Pictures, 20th Century Fox","United Kingdom, United States of America",English
tt0120689,The Green Mile,1999,60000000,"Castle Rock Entertainment, Darkwoods Productions, Warner Bros. Pictures, PolyGram Filmed Entertainment",United States of America,"French, English"
tt1790864,The Maze Runner,2014,34000000,"Ingenious Media, Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox","United States of America, United Kingdom",English
tt1119646,The Hangover,2009,35000000,"Legendary Pictures, Green Hat Films, Warner Bros. Pictures","Germany, United States of America",English
tt0080684,The Empire Strikes Back,1980,18000000,Lucasfilm Ltd.,United States of America,English
tt0126029,Shrek,2001,60000000,"DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",United States of America,English
tt0382932,Ratatouille,2007,150000000,"Pixar, Walt Disney Pictures",United States of America,"English, French"
tt2802144,Kingsman: The Secret Service,2014,81000000,"20th Century Fox, Marv Films, Cloudy Productions, TSG Entertainment","United Kingdom, United States of America","Arabic, English"
tt3783958,La La Land,2016,30000000,"Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate",United States of America,English
