Const,Name,Known For
nm0864306,Fabiana Tiscornia,La reina del miedo
nm3620652,Aly Muritiba,Cangaço Novo
nm0848893,Sandi Tan,Shirkers
nm1009787,Alexandra Shiva,How to Dance in Ohio
nm2503036,Lorna Tucker,Garbo: Where Did You Go?
nm2332629,Bernadett Tuza-Ritter,A Woman Captured
nm1145920,Crystal Moselle,Skate Kitchen
nm2416507,Bridey Elliott,Clara's Ghost
nm2528451,Josephine Decker,Thou Wast Mild and Lovely
nm0819079,Jordana Spiro,Night Comes On
nm2113122,Claire McCarthy,The Colour Room
nm3131342,Elizabeth Chomko,What They Had
nm1132362,Lauren Greenfield,The Queen of Versailles
nm0012501,Amy Adrion,Half the Picture
nm0480402,Susan Lacy,American Masters
nm3077054,Jenny Mackenzie,Kick Like a Girl
nm3167380,Amanda Stoddard,Quiet Heroes
nm1723335,Betsy West,RBG
nm3792517,Julie Cohen,My Name Is Pauli Murray
nm0954912,Marina Zenovich,Lance
nm0267287,Coralie Fargeat,The Substance
nm1435438,Augustine Frizzell,Never Goin' Back
nm2125482,Chloé Zhao,Nomadland
nm2509638,Rungano Nyoni,Mwansa the Great
nm8201031,Cristina Costantini,Science Fair
nm0853380,Julie Taymor,Frida
nm0000204,Natalie Portman,Black Swan
nm1065229,America Ferrera,Barbie
nm3892615,Laura Mulleavy,Black Swan
nm3894334,Kate Mulleavy,Black Swan
nm1752221,Gina Rodriguez,Deepwater Horizon
nm0743896,Tracee Ellis Ross,The Hair Tales
nm0848554,Amber Tamblyn,The Sisterhood of the Traveling Pants
nm0266824,Dakota Fanning,War of the Worlds
nm0515255,Jennie Livingston,Paris Is Burning
nm1823216,Heidi Ewing,I Carry You with Me
nm1823227,Rachel Grady,The Boys of Baraka
nm1155957,Anna Muylaert,Que Horas Ela Volta?
nm0607185,Jennifer Morrison,House M.D.
nm1312575,Olivia Wilde,Don't Worry Darling
nm1393967,Wanuri Kahiu,Rafiki
nm3661321,Alexandra Lescaze,All of Me
nm3053575,Laura Bispuri,L'amica geniale
nm0789366,Jessica Sharzer,Speak
nm2630323,Justine Triet,Anatomie d'une chute
nm8360246,Hannah Sheinkopf,Wilderness
nm0886079,Dorothée Van Den Berghe,Meisje
nm1888018,Jessica Palud,Revenir
nm0079448,Maggie Betts,The Burial
nm1127653,Massy Tadjedin,Last Night
nm0874795,Gabriela Tscherniak,"Berlin, I Love You"
nm1872698,Dianna Agron,The Family
nm3513753,Jessie Barr,Sophie Jones
nm4549849,Pippa Bianco,Share
nm2000954,Hannah Marks,Turtles All the Way Down
nm4826506,Cara Stricker,Maverick
nm2859868,Nikole Beckwith,Together Together
nm3997700,Houda Benyamina,Divines
nm3052903,Alison Klayman,Ai Weiwei: Never Sorry
nm0754303,Catherine Gund,Chavela
nm0330028,Bette Gordon,Variety
