Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
29,tt0089017,2019-02-26,2019-02-26,,"Desperately Seeking Susan","Desperately Seeking Susan",https://www.imdb.com/title/tt0089017/,Movie,6.1,104,1985,"Comedy, Drama",27058,1985-04-12,"Susan Seidelman"
30,tt0119080,2019-02-26,2019-02-26,,"Eve's Bayou","Eve's Bayou",https://www.imdb.com/title/tt0119080/,Movie,7.2,108,1997,"Drama",12012,1997-11-07,"Kasi Lemmons"
31,tt0099776,2019-02-26,2019-02-26,,"Europa Europa","Europa Europa",https://www.imdb.com/title/tt0099776/,Movie,7.5,112,1990,"Drama, History, War",17819,1990-11-14,"Agnieszka Holland"
32,tt0102685,2019-02-26,2019-02-26,,"Point Break","Point Break",https://www.imdb.com/title/tt0102685/,Movie,7.3,122,1991,"Action, Crime, Thriller",210273,1991-07-12,"Kathryn Bigelow"
33,tt2321549,2019-02-26,2019-02-26,,"The Babadook","The Babadook",https://www.imdb.com/title/tt2321549/,Movie,6.8,94,2014,"Drama, Horror, Mystery",257165,2014-11-28,"Jennifer Kent"
34,tt0076452,2019-02-26,2019-02-26,,"News from Home","News from Home",https://www.imdb.com/title/tt0076452/,Movie,7.3,89,1976,"Documentary",3081,1977-06-08,"Chantal Akerman"
35,tt0089015,2019-02-26,2019-02-26,,"Desert Hearts","Desert Hearts",https://www.imdb.com/title/tt0089015/,Movie,7.1,91,1985,"Drama, Romance",7708,1986-03-07,"Donna Deitch"
36,tt0086213,2019-02-26,2019-02-26,,"Sugar Cane Alley","Rue Cases Nègres",https://www.imdb.com/title/tt0086213/,Movie,7.3,103,1983,"Drama, History",1050,1983-09-21,"Euzhan Palcy"
37,tt0243255,2019-02-26,2019-02-26,,"Fat Girl","À ma soeur !",https://www.imdb.com/title/tt0243255/,Movie,6.4,86,2001,"Drama",13227,2001-03-07,"Catherine Breillat"
38,tt3892172,2019-02-26,2019-02-26,,"Leave No Trace","Leave No Trace",https://www.imdb.com/title/tt3892172/,Movie,7.1,109,2018,"Adventure, Drama",67056,2018-06-29,"Debra Granik"
39,tt0340855,2019-02-26,2019-02-26,,"Monster","Monster",https://www.imdb.com/title/tt0340855/,Movie,7.3,109,2003,"Biography, Crime, Drama, Thriller",165887,2004-01-30,"Patty Jenkins"
40,tt1020072,2019-02-26,2019-02-26,,"Selma","Selma",https://www.imdb.com/title/tt1020072/,Movie,7.5,128,2014,"Biography, Drama, History",96753,2015-01-09,"Ava DuVernay"
41,tt0298228,2019-02-26,2019-02-26,,"Whale Rider","Whale Rider",https://www.imdb.com/title/tt0298228/,Movie,7.5,101,2002,"Drama, Family",44544,2003-08-29,"Niki Caro"
42,tt0159097,2019-02-26,2019-02-26,,"The Virgin Suicides","The Virgin Suicides",https://www.imdb.com/title/tt0159097/,Movie,7.2,97,1999,"Drama, Romance",175731,2000-05-19,"Sofia Coppola"
43,tt0118125,2019-02-26,2019-02-26,,"The Watermelon Woman","The Watermelon Woman",https://www.imdb.com/title/tt0118125/,Movie,7.1,85,1996,"Comedy, Drama, Romance",4049,1997-03-05,"Cheryl Dunye"
44,tt2366450,2019-02-26,2019-02-26,,"Stories We Tell","Stories We Tell",https://www.imdb.com/title/tt2366450/,Movie,7.5,108,2012,"Documentary",14294,2013-01-17,"Sarah Polley"
