title,director,cast
Winter's Bone,Debra Granik,"['Jennifer Lawrence', 'John Hawkes', 'Kevin Breznahan', 'Dale Dickey']"
Waste Land,Lucy Walker,['Vik Muniz']
The Arbor,Clio Barnard,"['Manjinder Virk', 'Christine Bottomley', 'Neil Dudgeon', 'Natalie Gavin']"
"Yoo-Hoo, Mrs. Goldberg",Aviva Kempner,[]
An Education,Lone Scherfig,"['Peter Sarsgaard', 'Carey Mulligan', 'Alfred Molina', 'Dominic Cooper']"
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Judith Ehrlich,"['Peter Arnett', 'Ben Bagdikian']"
Sweetgrass,Lucien Castaing-Taylor,[]
Afghan Star,Havana Marking,[]
A Film Unfinished,Yael Hersonski,[]
Trouble the Water,Carl Deal,[]
The Beaches of Agnès,Agnès Varda,"['Agnès Varda', 'André Lubrano', 'Blaise Fournier', 'Vincent Fournier']"
35 Shots of Rum,Claire Denis,"['Alex Descas', 'Mati Diop', 'Nicole Dogue', 'Grégoire Colin']"
The Hurt Locker,Kathryn Bigelow,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'Guy Pearce']"
Persepolis,Marjane Satrapi,"['Chiara Mastroianni', 'Catherine Deneuve', 'Danielle Darrieux', 'Simon Abkarian']"
The Devil Came on Horseback,Ricki Stern,[]
Blame It on Fidel,Julie Gavras,"['Nina Kervel-Bey', 'Julie Depardieu', 'Stefano Accorsi', 'Benjamin Feuillet']"
Deep Water,Louise Osmond,['Tilda Swinton']
Blindsight,Lucy Walker,"['Erik Weihenmayer', 'Jeff Evans', 'Stefani Jackenthal', 'Kami Tenzing Sherpa']"
The War Tapes,Deborah Scranton,[]
Away From Her,Sarah Polley,"['Julie Christie', 'Gordon Pinsent', 'Olympia Dukakis', 'Michael Murphy']"
Grbavica: The Land of My Dreams,Jasmila Zbanic,"['Mirjana Karanovic', 'Luna Zimic Mijovic', 'Leon Lucev', 'Kenan Catic']"
Control Room,Jehane Noujaim,"['Josh Rushing', 'Hassan Ibrahim', 'Tom Mintier', 'David Shuster']"
Born Into Brothels,Zana Briski,"['Avijit Halder', 'Shanti Das']"
American Splendor,Shari Springer Berman,"['Paul Giamatti', 'Harvey Pekar', 'Shari Springer Berman', 'Earl Billings']"
Lost in Translation,Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']"
The Revolution Will Not Be Televised,Kim Bartley,['Hugo Chavez']
The Story of the Weeping Camel,Byambasuren Davaa,"['Ikhbayar Amgaabazar', 'Zeveljamz Nyam', 'Amgaabazar Gonson', 'Chimed Ohin']"
Lost Boys of Sudan,Megan Mylan,"['Santino Majok Chuor', 'Peter Kon Dut']"
Since Otar Left,Julie Bertuccelli,"['Esther Gorintin', 'Nino Khomasuridze', 'Dinara Drukarova', 'Temur Kalandadze']"
The Wild Parrots of Telegraph Hill,Judy Irving,[]
Open Hearts,Susanne Bier,"['Sonja Richter', 'Nikolaj Lie Kaas', 'Mads Mikkelsen', 'Paprika Steen']"
Monsoon Wedding,Mira Nair,"['Naseeruddin Shah', 'Lillete Dubey', 'Shefali Shetty', 'Kulbhushan Kharbanda']"
Promises,Justine Shapiro,[]
The Taste of Others,Agnès Jaoui,"['Jean-Pierre Bacri', 'Anne Alvaro', 'Agnès Jaoui', 'Gérard Lanvin']"
The Gleaners and I,Agnès Varda,"['Agnès Varda', 'Francois Wertheimer']"
The Life and Times of Hank Greenberg,Aviva Kempner,"['Hank Greenberg', 'Alan Dershowitz', 'Bob Feller', 'Charlie Gehringer']"
