title,director,cast
Ailey,Jamila Wignot,['Alvin Ailey American Dance Theater']
Martyrs Lane,Ruth Platt,"['Kiera Thompson', 'Denise Gough', 'Steven Cree', 'Anastasia Hille']"
Passing,Rebecca Hall,"['Tessa Thompson', 'Ruth Negga', 'André Holland', 'Alexander Skarsgård']"
The Souvenir Part II,Joanna Hogg,"['Honor Swinton Byrne', 'Jaygann Ayeh', 'Tilda Swinton', 'Richard Ayoade']"
El Planeta,Amalia Ulman,"['Ale Ulman', 'Amalia Ulman', 'Nacho Vigalondo', 'Genoveva Garcia Castanon']"
Street Gang: How We Got to Sesame Street,Marilyn Agrelo,"['Joan Ganz Cooney', 'Fran Brill', 'Christopher Cerf', 'Emilio Delgado']"
Rita Moreno: Just a Girl Who Decided to Go For It,Mariem Pérez Riera,"['Rita Moreno', 'Lin-Manuel Miranda', 'Norman Lear', 'George Chakiris']"
Plan B,Natalie Morales,"['Kuhoo Verma', 'Victoria Moroles', 'Josh Ruben', 'Mason Cook']"
In the Same Breath,Nanfu Wang,[]
The Novice,Lauren Hadaway,"['Isabelle Fuhrman', 'Amy Forsyth', 'Dilone', 'Kate Drummond']"
I'm Your Man,Maria Schrader,"['Dan Stevens', 'Maren Eggert', 'Sandra Hüller', 'Hans Löw']"
Petite Maman,Céline Sciamma,"['Nina Meurisse', 'Margot Abascal', 'Stéphane Varupenne', 'Joséphine Sanz']"
The Rescue,Elizabeth Chai Vasarhelyi,"['Bancha Duriyapunt', 'Apakorn Youkongkaew', 'Anan Surawan', 'Woranan Ratrawiphukkun']"
Attica,Stanley Nelson,['Clarence Jones']
Becoming Cousteau,Liz Garbus,"['Vincent Cassel', 'Jacques-Yves Cousteau']"
Julia,Julie Cohen,"['José Andrés', 'Julia Child']"
Hive,Blerta Basholli,"['Yllka Gashi', 'Çun Lajçi', 'Aurita Agushi', 'Kumrije Hoxha']"
Woodlands Dark and Days Bewitched: A History of Folk Horror,Kier-La Janisse,"['Piers Haggard', 'Lawrence Gordon Clark', 'Jeremy Dyson', 'Alice Lowe']"
