rank,year,title,domestic_gross
"7,701",2023,Niàn Niàn Xiāng Wàng (念念相忘),
"7,702",2018,25 km/h,
"7,703",1998,Knock Off,"$10,319,915"
"7,704",1998,I Got the Hook-Up!,"$10,317,779"
"7,705",2016,Hide and Seek,
"7,706",2022,Le otto montagne,"$302,456"
"7,707",1985,Better Off Dead...,"$10,297,601"
"7,708",2015,Galaxy Kaidô,
"7,709",2007,Lubov Morkov,
"7,710",2018,Dog Days,"$6,809,080"
"7,711",2017,Kamen Raidâ Heisei Jenerêshonzu Faina…,
"7,712",2022,Men,"$7,587,853"
"7,713",2018,Gui Mi 2,"$37,115"
"7,714",2018,The Miracle Season,"$10,230,620"
"7,715",2021,Gekijôban: Okusama wa toriatsukai chûi,
"7,716",1983,The Year of Living Dangerously,"$10,278,575"
"7,717",1987,Someone to Watch Over Me,"$10,278,549"
"7,718",2021,Wu Ge Pu Shui De Shao Nian,
"7,719",2019,The Best of Enemies,"$10,205,616"
"7,720",2015,Bis,
"7,721",2016,Ma vie de Courgette,"$309,768"
"7,722",2006,Facing the Giants,"$10,178,331"
"7,723",2015,Yokokuhan,
"7,724",2017,Fan Zhuan Ren Sheng,
"7,725",2018,Mao Yu Tao Hua Yuan,
"7,726",1996,White Squall,"$10,229,300"
"7,727",2005,In the Mix,"$10,223,896"
"7,728",2015,Nian Nian You Ai,
"7,729",1961,Babes in Toyland,"$10,218,316"
"7,730",1981,Rollover,"$10,217,873"
"7,731",2017,Kuang Shou,
"7,732",2012,Snabba Cash,"$188,870"
"7,733",1999,Hak Hap,"$10,211,278"
"7,734",1994,I'll Do Anything,"$10,209,111"
"7,735",2019,Naui Teukbyeolhan Hyungje,
"7,736",2004,Saved!,"$8,886,160"
"7,737",2016,Sekai kara neko ga kietanara,
"7,738",2014,The Two Faces of January,"$507,463"
"7,739",2015,Meu Passado Me Condena 2,
"7,740",2019,Ženy v běhu,
"7,741",2000,Woman on Top,"$5,018,450"
"7,742",2008,Flowers in the Shadow,
"7,743",2015,Du La La Sheng Zhi Ji 2,
"7,744",2007,P2,"$6,348,315"
"7,745",1994,You So Crazy,"$10,184,701"
"7,746",2016,The Perfect Match,"$9,669,521"
"7,747",1989,Henry V,"$10,161,099"
"7,748",2009,Next Day Air,"$10,027,047"
"7,749",1993,Look Who's Talking Now,"$10,172,124"
"7,750",2018,Klassentreffen,
"7,751",2018,Kohi ga Samenai Uchi Ni,
"7,752",2024,Suga | Agust D Tour ‘D-Day’ The Movie…,"$1,951,896"
"7,753",2019,Sorry We Missed You,"$28,273"
"7,754",2001,Sexy Beast,"$6,946,056"
"7,755",2008,Punisher: War Zone,"$8,050,977"
"7,756",2005,The Ice Harvest,"$9,016,782"
"7,757",1999,Bats,"$10,155,691"
"7,758",2015,We Are Your Friends,"$3,591,417"
"7,759",2013,Septimo,
"7,760",1983,Lovesick,"$10,143,618"
"7,761",1982,The Secret of Nimh,"$10,140,325"
"7,762",2022,Pearl,"$9,423,445"
"7,763",2013,ABCD (Any Body Can Dance),"$222,098"
"7,764",1950,Father of the Bride,"$10,135,000"
"7,765",1996,Sunset Park,"$10,128,314"
"7,766",2017,Marshall,"$10,051,659"
"7,767",2008,L'allenatore nel pallone 2,
"7,768",2009,Away We Go,"$9,451,946"
"7,769",2012,Bernie,"$9,204,489"
"7,770",2019,Bei Guang Zhua Zou De Ren,
"7,771",2017,Bibi & Tina: Tohuwabohu total,
"7,772",2020,Asada-ke,
"7,773",2001,The Wash,"$10,097,096"
"7,774",1968,With Six You Get Eggroll,"$10,095,200"
"7,775",1998,Air Bud: Golden Receiver,"$10,093,523"
"7,776",1986,Under the Cherry Moon,"$10,090,429"
"7,777",2015,A Little Chaos,"$558,173"
"7,778",2012,L'Homme qui rit,"$46,704"
"7,779",2016,The Beatles: Eight Days a Week,"$2,934,445"
"7,780",2018,Ying Xiong Ben Se 2018,
"7,781",1985,Lost in America,"$10,079,206"
"7,782",2020,10 jours sans maman,$856
"7,783",2003,Duplex,"$9,652,000"
"7,784",2018,"Kon'ya, romansu gekijô de",
"7,785",1988,Shakedown,"$10,068,039"
"7,786",1997,Buddy,"$10,067,104"
"7,787",2009,Taking Woodstock,"$7,460,204"
"7,788",2011,Yokame no semi,
"7,789",2010,Cyrus,"$7,468,936"
"7,790",1993,Boiling Point,"$10,058,318"
"7,791",2004,A Day Without a Mexican,"$4,180,870"
"7,792",2019,Leberkäsjunkie,
"7,793",2016,Queen of Katwe,"$8,874,389"
"7,794",2018,Maya the Bee: The Honey Games,
"7,795",2008,Open City,
"7,796",2003,Elephant,"$1,266,955"
"7,797",2018,Pope Francis—A Man of His Word,"$2,008,385"
"7,798",2021,Di yi lu Xiang,
"7,799",1996,Mrs. Winterbourne,"$10,039,566"
"7,800",2000,Godzilla 2000,"$10,037,390"
"7,801",2007,Milyang,
"7,802",1989,Cyborg,"$10,030,875"
"7,803",2015,Nihon no ichiban nagai hi ketteiban,
"7,804",1955,Love Is a Many-Splendored Thing,"$10,000,000"
"7,805",2012,For Greater Glory: The True Story of …,"$5,669,081"
"7,806",2016,Tamjung Hong Gil-dong: Sarajin Ma-eul,"$67,054"
"7,807",1998,Dirty Work,"$10,020,081"
"7,808",1999,Le Violon rouge,"$10,019,109"
"7,809",2018,Liteul Poleseuteu,
"7,810",2016,Aozora êru,
"7,811",1995,A Little Princess,"$10,015,449"
"7,812",2000,Lucky Numbers,"$10,014,234"
"7,813",1988,The Unbearable Lightness of Being,"$10,006,000"
"7,814",1990,The Two Jakes,"$10,005,969"
"7,815",1946,Gilda,"$10,000,000"
"7,816",2024,Land of Broken Hearts (负负得正),
"7,817",1933,King Kong,"$10,000,000"
"7,818",1948,The Snake Pit,"$10,000,000"
"7,819",1978,The Swarm,"$10,000,000"
"7,820",1988,Iron Eagle II,"$10,000,000"
"7,821",1980,Up the Academy,"$10,000,000"
"7,822",1945,State Fair,"$10,000,000"
"7,823",1972,Across 110th Street,"$10,000,000"
"7,824",1974,California Split,"$10,000,000"
"7,825",1946,Margie,"$10,000,000"
"7,826",1981,So Fine,"$10,000,000"
"7,827",1959,Journey to the Center of the Earth,"$10,000,000"
"7,828",1981,"Zorro, The Gay Blade","$10,000,000"
"7,829",1971,The Big Doll House,"$10,000,000"
"7,830",1973,The Last Detail,"$10,000,000"
"7,831",1987,Disorderlies,"$10,000,000"
"7,832",1980,Maniac,"$10,000,000"
"7,833",1981,Atlantic City,"$10,000,000"
"7,834",1947,Mother Wore Tights,"$10,000,000"
"7,835",1980,The Hollywood Knights,"$10,000,000"
"7,836",1958,The Big Country,"$10,000,000"
"7,837",1961,Judgment at Nuremberg,"$10,000,000"
"7,838",1945,The Dolly Sisters,"$10,000,000"
"7,839",1972,Shaft’s Big Score,"$10,000,000"
"7,840",1928,The Singing Fool,"$10,000,000"
"7,841",1963,55 Days at Peking,"$10,000,000"
"7,842",1963,Hud,"$10,000,000"
"7,843",1968,The Ambushers,"$10,000,000"
"7,844",2011,Hankyu Dentetsu,
"7,845",2015,Gekijouban Mozu,
"7,846",2023,Daljjagjigeunhae (달짝지근해),
"7,847",1961,Return to Peyton Place,"$9,996,178"
"7,848",1961,Fanny,"$9,996,178"
"7,849",1996,A Family Thing,"$9,993,012"
"7,850",2017,Thank You for Your Service,"$9,479,390"
"7,851",2001,The Deep End,"$8,823,109"
"7,852",2003,La Grande Seduction,"$9,832,874"
"7,853",2019,L'incroyable histoire du facteur Cheval,
"7,854",2013,Mobius,
"7,855",2017,Gieokui Bam,
"7,856",2017,Shanguang Shaonu,
"7,857",1986,Murphy's Law,"$9,947,631"
"7,858",1994,Lassie,"$9,942,954"
"7,859",2017,Mca: Middle Class Abbayi,
"7,860",1985,Brazil,"$9,929,135"
"7,861",2016,The Secret (China),
"7,862",2016,High & Low the Red Rain,
"7,863",2022,Wo Men de dong ao (我们的冬奥),
"7,864",1985,Once Bitten,"$9,917,242"
"7,865",2017,Velaikkaran,
"7,866",2016,Everesuto: Kamigami no itadaki,
"7,867",2007,Dialogue avec mon jardinier,"$93,604"
"7,868",2024,Lisa Frankenstein,"$9,774,285"
"7,869",2023,Silent Night,"$8,012,103"
"7,870",1997,Night Falls On Manhattan,"$9,889,670"
"7,871",2022,Haejeok doggaebi gitbal (해적: 도깨비 깃발)…,
"7,872",2012,English Vinglish,"$1,862,086"
"7,873",2018,Sarajin Bam,
"7,874",2023,What’s Love Got to Do with It?,
"7,875",2019,La dea fortuna,
"7,876",1985,Explorers,"$9,873,000"
"7,877",1980,Serial,"$9,870,727"
"7,878",1987,Maid to Order,"$9,868,000"
"7,879",2008,Hitler Kaput!,
"7,880",2021,Re Dai Wang Shi,
"7,881",2019,"Extremely Wicked, Shockingly Evil and…",
"7,882",1983,The Black Stallion Returns,"$9,851,679"
"7,883",2017,My Cousin Rachel,"$2,716,368"
"7,884",2016,"Tono, risoku de gozaru!",
"7,885",1982,Hanky Panky,"$9,823,934"
"7,886",2019,"Gozen 0-ji, Kiss shi ni Kite yo",
"7,887",2019,Eiga Sumikko Gurashi - Tobidasu Ehon …,
"7,888",2000,3 Strikes,"$9,821,335"
"7,889",2011,Badrinath,
"7,890",1999,Dudley Do-Right,"$9,818,792"
"7,891",2019,Joyeuse retraite!,
"7,892",2014,What If,"$3,493,000"
"7,893",2008,The Express,"$9,793,406"
"7,894",1995,Jade,"$9,812,870"
"7,895",2019,Amazing Grace,"$4,450,454"
"7,896",2017,Peace Breaker,
"7,897",2019,Rafadan Tayfa Göbeklitepe,
"7,898",2011,Gokaiger Goseiger Super Sentai 199 He…,
"7,899",2009,Paa,"$199,228"
"7,900",2016,Forushande,"$2,402,067"
"7,901",2018,King of Thieves,
"7,902",2016,Papa ou Maman 2,
"7,903",1961,Breakfast at Tiffany's,"$9,551,904"
"7,904",2018,Os Farofeiros,
"7,905",2018,Ballon,"$34,222"
"7,906",2017,The War of Loong,
"7,907",2016,Ivan Tsarevich i Seryy Volk 3,
"7,908",1994,The Swan Princess,"$9,771,658"
"7,909",2016,The Rise of a Tomboy,
"7,910",2019,Organize İşler Sazan Sarmalı,
"7,911",2011,Serge Gainsbourg vie heroique,"$233,007"
"7,912",2017,Il a déjà tes yeux,
"7,913",1996,Matilda,
"7,914",2024,Saturday Night,"$9,511,315"
"7,915",2022,Aftersun,"$1,658,791"
"7,916",1994,Immortal Beloved,"$9,743,135"
"7,917",1987,The Hidden,"$9,747,988"
"7,918",2016,Planeta Singli,
"7,919",2015,Il racconto dei racconti,"$102,186"
"7,920",2024,I Am What I Am 2 (雄狮少年2),
"7,921",2021,Wo De Qingchun You Ge Ni,
"7,922",2006,Running Scared,"$6,855,137"
"7,923",2009,"New York, I Love You","$1,588,087"
"7,924",1984,Cloak & Dagger,"$9,719,952"
"7,925",2012,The Hole 3D,
"7,926",2016,Yugo & Lala 3,
"7,927",2008,Chîmu bachisuta no eikô,
"7,928",2019,Gloria Bell,"$5,611,123"
"7,929",1980,Somewhere in Time,"$9,709,597"
"7,930",1972,Conquest of the Planet of the Apes,"$9,700,000"
"7,931",1986,SpaceCamp,"$9,697,739"
"7,932",2015,Saul fia,"$1,777,043"
"7,933",2019,Fortuna's Eye,
"7,934",2009,Horst Schlammer - Isch Kandidiere!,
"7,935",2017,Vremya Pervyh,
"7,936",1991,The Butcher's Wife,"$9,689,816"
"7,937",2020,Sumaho o otoshita dake na no ni: Tora…,
"7,938",1991,"He Said, She Said","$9,684,702"
"7,939",2015,Only You,"$61,565"
"7,940",2013,Jerusalem,"$8,020,721"
"7,941",2002,S1m0ne,"$9,680,913"
"7,942",2018,Goonghab,
"7,943",1997,Shall We Dance?,"$9,676,677"
"7,944",2008,Miracle at St. Anna,"$7,916,887"
"7,945",2017,Huān yuè xǐjù rén,
"7,946",2019,Diner Dainâ,
"7,947",2008,Winter in Wartime,"$542,860"
"7,948",2019,Le mystère Henri Pick,
"7,949",1990,Miami Blues,"$9,654,290"
"7,950",2004,Connie and Carla,"$8,047,525"
"7,951",1998,Wrongfully Accused,"$9,642,860"
"7,952",1998,Belly,"$9,639,390"
"7,953",2003,Young Black Stallion,"$6,751,389"
"7,954",1983,Without a Trace,"$9,632,062"
"7,955",2019,Feng Zhong You Duo Yu Zuo De Yun,
"7,956",2015,You zhong ni ai wo,
"7,957",2019,Ride Like a Girl,
"7,958",2017,I Am Not Your Negro,"$7,123,919"
"7,959",2005,Me and You and Everyone We Know,"$3,885,134"
"7,960",2007,Come tu mi vuoi,
"7,961",1954,On the Waterfront,"$9,600,000"
"7,962",2018,Ladies in Black,
"7,963",2023,Dyun Mong (断网),
"7,964",2019,Tod@s Caen,"$2,670,925"
"7,965",1960,Pepe,"$9,600,000"
"7,966",2018,7 Days in Entebbe,"$3,189,220"
"7,967",1990,The Gods Must be Crazy II,"$6,291,444"
"7,968",2017,High & Low: The Movie 3 - Final Mission,
"7,969",2013,Chashme Baddoor,"$235,401"
"7,970",1993,The Dark Half,"$9,579,068"
"7,971",2021,¡A todo tren! Destino Asturias,
"7,972",1995,The Baby-Sitters Club,"$9,574,155"
"7,973",2010,Guzaarish,"$1,026,589"
"7,974",2017,Beuiaipi,
"7,975",2018,Nichinichi Kore Kôjitsu,
"7,976",2004,Monsieur Ibrahim,"$2,824,365"
"7,977",1991,Scenes from a Mall,"$9,563,393"
"7,978",2015,Xi Yang Yang Yu Hui Tai Liang Zhi Yan…,
"7,979",2018,Traffik,"$9,186,156"
"7,980",2017,God of War,"$53,496"
"7,981",1999,The Love Letter,"$8,322,608"
"7,982",2016,Popstar: Never Stop Never Stopping,"$9,496,130"
"7,983",2004,Shade,"$25,032"
"7,984",2020,Okei! Madam,
"7,985",2017,Hirunaka no ryuusei,
"7,986",2006,All the King's Men,"$7,221,458"
"7,987",1987,From the Hip,"$9,518,342"
"7,988",2009,Open Season 2,
"7,989",2003,Thirteen,"$4,601,043"
"7,990",1994,Red Rock West,"$2,502,551"
"7,991",1984,The Wild Life,"$9,500,000"
"7,992",2021,Soshite Baton Wa Watasareta (そして、バトンは…,
"7,993",2017,Míng Yuè Jǐ Shí Yǒu,"$111,584"
"7,994",2017,Rock'n Roll,
"7,995",1997,A Thousand Acres,"$7,928,412"
"7,996",2016,L'Odyssée,
"7,997",1993,Flesh and Bone,"$9,488,998"
"7,998",2019,Minuscule - Les mandibules du bout du…,
"7,999",2008,Parlami d'amore,
"8,000",2024,The Chosen: Season 4 Episodes 4-6,"$9,482,744"
"8,001",2008,Arrancame la Vida,
"8,002",2011,Mr. Perfect,
"8,003",2003,The Station Agent,"$5,801,558"
"8,004",1985,The Journey of Natty Gann,"$9,468,512"
"8,005",1983,Hercules,"$9,466,655"
"8,006",1959,Sleeping Beauty,"$9,464,608"
"8,007",2014,Andiamo a quel paese,
"8,008",1993,Amos & Andrew,"$9,461,630"
"8,009",2016,Me Case con un Boludo,
"8,010",2007,Captivity,"$2,686,800"
"8,011",2024,Ruki vverkh (Руки вверх),
"8,012",2019,Otoko wa tsurai yo 50: Okaeri Tora-san,
"8,013",2020,365 Dni,
"8,014",2024,Domovyonok Kuzya (Домовёнок Кузя)…,
"8,015",2015,Ahora o nunca,
"8,016",2018,Snezhnaya koroleva. Zazerkale,
"8,017",2005,The Libertine,"$4,835,065"
"8,018",1991,Guilty by Suspicion,"$9,445,090"
"8,019",2010,Belka i Strelka. Zvezdnye sobaki,
"8,020",2007,Ta Ra Rum Pum,"$872,643"
"8,021",1989,Criminal Law,"$9,443,550"
"8,022",1964,Viva Las Vegas,"$9,442,967"
"8,023",2003,Veronica Guerin,"$1,569,918"
"8,024",2019,The Goldfinch,"$5,332,621"
"8,025",2024,Io e Te dobbiamo parlare,
"8,026",2024,Il Ragazzo dai Pantaloni Rosa,
"8,027",2004,Sleepover,"$9,408,183"
"8,028",1996,Dunston Checks In,"$9,419,316"
"8,029",2002,Secretary,"$4,046,737"
"8,030",1978,The Brink's Job,"$9,400,000"
"8,031",2016,Adopte un veuf,
"8,032",2005,Mad Hot Ballroom,"$8,117,961"
"8,033",2007,Kidnapping Granny K,
"8,034",2016,Osman Pazarlama,
"8,035",2012,Ernest et Celestine,"$292,562"
"8,036",2014,Song of the Sea,"$857,524"
"8,037",2016,Incarnate,"$4,799,774"
"8,038",2008,고死: 피의중간고사 (Gosa: piui junggangosa)…,
"8,039",2011,Cave of Forgotten Dreams,"$5,304,920"
"8,040",1985,Tuff Turf,"$9,369,329"
"8,041",2018,Amici come Prima,
"8,042",2019,Captive State,"$5,958,315"
"8,043",2004,Superbabies: Baby Geniuses 2,"$9,109,322"
"8,044",2016,20th Century Women,"$5,664,763"
"8,045",2007,Martian Child,"$7,500,310"
"8,046",2014,Parasyte: Part 1 (寄生獣),
"8,047",2019,Shi Dai Kuang Ren,
"8,048",2002,Kissing Jessica Stein,"$7,025,722"
"8,049",2018,Tri bogatyrya i Naslednitsa prestola,
"8,050",2011,Salvando al Soldado Perez,"$1,400,726"
"8,051",2020,Ooops! The Adventure Continues,
"8,052",2017,Special Citizen,"$96,777"
"8,053",1996,Hellraiser IV: Bloodline,"$9,321,492"
"8,054",2007,Il 7 e l'8,
"8,055",1993,We're Back! A Dinosaur's Story,"$9,315,576"
"8,056",2012,On the Road,"$720,828"
"8,057",2011,Open Season 3,
"8,058",2017,Jangsanbeom,
"8,059",2012,La nouvelle guerre des boutons,"$45,602"
"8,060",2013,Peeples,"$9,177,065"
"8,061",2007,Black House,
"8,062",1977,Bobby Deerfield,"$9,300,000"
"8,063",2012,Serbuan maut,"$4,105,123"
"8,064",2019,Red Shoes and the Seven Dwarfs,
"8,065",2023,Yǔ Zhòu Tàn Suǒ Biān Jí Bù (宇宙探索编辑部)…,
"8,066",1992,Chaplin,"$9,289,349"
"8,067",2005,Salaam Namaste,"$1,411,065"
"8,068",1991,Stone Cold,"$9,286,314"
"8,069",1993,Lost in Yonkers,"$9,285,189"
"8,070",2022,Kesisme: Iyi Ki Varsin Eren,
"8,071",2015,Danny Collins,"$5,637,066"
"8,072",2015,Me and Earl and the Dying Girl,"$6,758,416"
"8,073",2016,Denial,"$4,073,448"
"8,074",2017,Sztuka kochania. Historia Michaliny W…,
"8,075",2011,Le nom des gens,"$514,237"
"8,076",1964,Dr. Strangelove,"$9,164,370"
"8,077",2022,Redeeming Love,"$9,214,020"
"8,078",1998,Jerry Springer: Ringmaster,"$9,257,103"
"8,079",2019,C'est quoi cette mamie?!,
"8,080",1997,Fierce Creatures,"$9,254,184"
"8,081",1994,Angie,"$9,252,349"
"8,082",1962,Lolita,"$9,250,000"
"8,083",2016,Les Innocentes,"$1,065,665"
"8,084",2019,Il Traditore,"$296,027"
"8,085",2017,Revenge for Love,
"8,086",1996,Celtic Pride,"$9,240,378"
"8,087",2018,Ailecek Şaşkınız,
"8,088",1962,The Interns,"$9,230,769"
"8,089",1962,Bon Voyage!,"$9,230,769"
"8,090",2011,A bout portant,"$708,215"
"8,091",1997,Mrs. Brown,"$9,217,930"
"8,092",2023,House Party,"$9,011,251"
"8,093",2009,Everybody's Fine,"$9,208,876"
"8,094",2015,Ng goh siu hai dik hau jeung,
"8,095",2007,Mon meilleur ami,"$1,422,461"
"8,096",1988,Return of the Living Dead Part II,"$9,205,924"
"8,097",2017,À bras ouverts,
"8,098",2016,Çalgi Çengi Ikimiz,
"8,099",1990,Havana,"$9,200,339"
"8,100",1979,Dirt,"$9,200,000"
"8,101",1921,The Four Horsemen of the Apocalypse,"$9,200,000"
"8,102",1983,Bad Boys,"$9,200,000"
"8,103",2008,Deux jours à tuer,
"8,104",2015,Dukhless 2,
"8,105",2015,The Last Women Standing,"$163,406"
"8,106",2018,Mid90s,"$7,362,439"
"8,107",2000,State and Main,"$6,920,692"
"8,108",2017,La promesse de l'aube,
"8,109",2022,Women Talking,"$5,456,531"
"8,110",1940,Boom Town,"$9,172,000"
"8,111",1988,Hairspray,"$6,671,108"
"8,112",2017,Chiadan: Joshi kousei ga chiadansu de…,
"8,113",1993,What's Eating Gilbert Grape,"$9,170,214"
"8,114",2018,La befana vien di notte,
"8,115",2016,Vier Gegen die Bank,
"8,116",2018,Planeta Singli 2,
"8,117",1964,Becket,"$9,164,370"
"8,118",2020,Downhill,"$8,287,061"
"8,119",2008,Evangerion shin gekijôban: Jo,"$107,797"
"8,120",2016,Kardeşim Benim,
"8,121",1988,Dead Ringers,"$9,134,733"
"8,122",1945,The Valley of Decision,"$9,132,000"
"8,123",2019,Official Secrets,"$1,996,766"
"8,124",1964,Send Me No Flowers,"$9,129,247"
"8,125",2024,The Apprentice,"$4,001,910"
"8,126",2016,Juste La Fin Du Monde,
"8,127",2020,Qin Ai Dw Xin Nian Hao,
"8,128",2023,The Adventures of Shuke and Beita (舒克…,
"8,129",1989,Tap,"$9,114,702"
"8,130",2013,Filth,"$34,411"
"8,131",2012,Mientras duermes,
"8,132",2017,Naratâju,
"8,133",2015,Wo shi lu ren jia,
"8,134",1985,Sweet Dreams,"$9,100,000"
"8,135",2016,Meet the Blacks,"$9,097,072"
"8,136",2015,Marguerite,"$497,323"
"8,137",2020,Keullojet,
"8,138",2018,Baram Baram Baram,
"8,139",2023,Dream Scenario,"$5,742,193"
"8,140",2013,Metallica Through the Never,"$3,419,967"
"8,141",1982,A Midsummer Night's Sex Comedy,"$9,077,269"
"8,142",2015,Tu xia zhi qing li chuan shuo,
"8,143",2016,Sadako vs. Kayako,
"8,144",2016,Cien años de perdón,
"8,145",1964,Good Neighbor Sam,"$9,072,726"
"8,146",2019,Gu Tian Jun Hao,
"8,147",2006,Brave Story,
"8,148",2017,The Last Recipe: Kirin no shita no kioku,
"8,149",2017,Jagga Jasoos,"$861,740"
"8,150",2023,Jiǎn Chá Fēng Yún (检察风云),
"8,151",2018,Werk ohne Autor,"$1,303,747"
"8,152",2008,Le premier jour du reste de ta vie,
"8,153",2017,Zashchitniki,
"8,154",2013,Paulette,"$29,086"
"8,155",2021,Little Canned Men,
"8,156",2024,Hanu Man,"$2,300,000"
"8,157",2016,Teukbyeolsusa: Sahyoungsuui Pyeonji,
"8,158",2018,Replicas,"$4,046,429"
"8,159",2018,El mejor verano de mi vida,
"8,160",2015,Snowtime!,
"8,161",2015,Frau Müller muss weg!,
"8,162",2024,Afraid,"$6,726,179"
"8,163",2019,Ba Jie Chuan Shuo,
"8,164",1985,Target,"$9,023,199"
"8,165",1954,Vera Cruz,"$9,000,000"
"8,166",1999,Trippin’,"$9,017,070"
"8,167",1956,The Conqueror,"$9,000,000"
"8,168",1989,Renegades,"$9,015,164"
"8,169",1948,Red River,"$9,012,000"
"8,170",1992,White Sands,"$9,011,574"
"8,171",2020,Neposredstvenno Kakha,
"8,172",1985,Cat's Eye,"$9,000,000"
"8,173",1939,Mr. Smith Goes To Washington,"$9,000,000"
"8,174",1954,Desiree,"$9,000,000"
"8,175",1981,Prince of the City,"$9,000,000"
"8,176",1980,Tribute,"$9,000,000"
"8,177",1988,Bad Dreams,"$9,000,000"
"8,178",1977,Wizards,"$9,000,000"
"8,179",1980,Tom Horn,"$9,000,000"
"8,180",1988,Switching Channels,"$9,000,000"
"8,181",1925,Ben-Hur: A Tale of the Christ,"$9,000,000"
"8,182",1967,Doctor Dolittle,"$9,000,000"
"8,183",1980,Saturn 3,"$9,000,000"
"8,184",1970,Beyond the Valley of the Dolls,"$9,000,000"
"8,185",1984,Bolero,"$9,000,000"
"8,186",1945,A Tree Grows in Brooklyn,"$9,000,000"
"8,187",1956,Love Me Tender,"$9,000,000"
"8,188",1964,Zorba the Greek,"$9,000,000"
"8,189",1958,The Inn of the Sixth Happiness,"$9,000,000"
"8,190",2017,Ketenpere,
"8,191",1986,Deadly Friend,"$8,988,731"
"8,192",2014,What We Did on Our Holiday,"$4,200"
"8,193",2016,Super Express,
"8,194",2015,Pei an dong ni du guo man chang sui yue,"$119,376"
"8,195",2018,"Neuilly sa mère, sa mère!",
"8,196",2019,Tolkien,"$4,535,154"
"8,197",1998,Cube,"$489,220"
"8,198",1999,Teaching Mrs. Tingle,"$8,959,883"
"8,199",2015,Truman,"$210,840"
"8,200",2018,Der Vorname,
"8,201",2008,Cadillac Records,"$8,195,551"
"8,202",2017,Half Girlfriend,
"8,203",2019,Shijinso no Satsujin,
"8,204",2010,Fatal,
"8,205",1995,In the Mouth of Madness,"$8,924,549"
"8,206",1993,Matinee,"$8,925,775"
"8,207",1983,Brainstorm,"$8,921,050"
"8,208",1962,The Wonderful World of the Brothers G…,"$8,920,615"
"8,209",2020,Odio L'Estate,
"8,210",2022,Bu Yao Wang Ji Wo Ai Ni (不要忘记我爱你)…,
"8,211",2016,La Folle Histoire De Max Et Léon,
"8,212",2019,Peopekteu Maen,
"8,213",2008,Sunny,
"8,214",2007,Control,"$871,577"
"8,215",1980,The Formula,"$8,894,289"
"8,216",1999,"Mystery, Alaska","$8,891,623"
"8,217",1983,Deathstalker,"$8,890,685"
"8,218",2012,The Collection,"$6,810,754"
"8,219",2013,Sunshine on Leith,
"8,220",2012,Honey 2,
"8,221",2014,A Most Violent Year,"$5,749,134"
"8,222",1994,The Inkwell,"$8,864,699"
"8,223",1998,Apt Pupil,"$8,863,193"
"8,224",2015,Kokoro ga sakebitagatterunda,
"8,225",1984,Hard To Hold,"$8,853,155"
"8,226",2017,Haebing,"$43,144"
"8,227",2011,Barney's Version,"$7,502,560"
"8,228",2006,The Return,"$7,744,785"
"8,229",2006,Bo bui gai wak,
"8,230",2016,Bastille Day,"$50,269"
"8,231",2017,Aknyeo,"$27,741"
"8,232",2017,Borg vs McEnroe,"$231,346"
"8,233",1991,Warlock,"$8,824,553"
"8,234",1985,Gotcha,"$8,823,269"
"8,235",1984,The River,"$8,818,672"
"8,236",2006,Kinky Boots,"$1,822,428"
"8,237",2007,Batterî,
"8,238",1984,Body Double,"$8,801,940"
"8,239",1973,Battle for the Planet of the Apes,"$8,800,000"
"8,240",1947,The Hucksters,"$8,800,000"
"8,241",1989,Scandal,"$8,800,000"
"8,242",1984,Oxford Blues,"$8,793,000"
"8,243",2024,Lohusa,
"8,244",2023,Trending Topic (热搜),
"8,245",2024,Parthenope,
"8,246",2010,Banlieue 13: Ultimatum,"$36,136"
"8,247",2017,Stronger,"$4,211,129"
"8,248",2017,The Square,"$1,502,347"
"8,249",2010,Xin Ling De Yang Guang,
"8,250",2012,Ruby Sparks,"$2,540,106"
"8,251",2016,Scandal Maker,
"8,252",2008,The Rocker,"$6,409,528"
"8,253",2012,Venuto al mondo,
"8,254",2016,Chô kôsoku! Sankin kôtai ritânzu,
"8,255",2001,Ghost World,"$6,217,849"
"8,256",2019,Kessan! Chushingura,
"8,257",2008,Deo ge-im,
"8,258",1994,White Fang 2: Myth of the White Wolf,"$8,752,399"
"8,259",1955,To Catch a Thief,"$8,750,000"
"8,260",1947,The Bachelor and the Bobby-Soxer,"$8,750,000"
"8,261",1957,The Pride and the Passion,"$8,750,000"
"8,262",1989,True Believer,"$8,742,000"
"8,263",2007,This is England,"$327,919"
"8,264",2007,Delta Farce,"$8,130,530"
"8,265",2000,Whatever it Takes,"$8,735,529"
"8,266",2011,Yang Shan Zhou,
"8,267",1995,Village of the Damned,"$8,729,915"
"8,268",2004,Suspect Zero,"$8,712,564"
"8,269",2023,Rafadan Tayfa 4: Hayrimator,
"8,270",2019,Chui Shao Ren,"$150,481"
"8,271",2018,Girl,
"8,272",2018,Champion,"$97,470"
"8,273",2013,Kureyon Shinchan: bakauma！ B-kyū guru…,
"8,274",2024,Onegin (Онегин),
"8,275",2016,King of Prism by Pretty Rhythm,
"8,276",2006,Running With Scissors,"$6,860,000"
"8,277",2024,The Exorcism,"$4,530,418"
"8,278",1985,Mischief,"$8,700,000"
"8,279",2016,Dedemin Fisi,
"8,280",2017,Patients,
"8,281",1982,If You Could See What I Hear,"$8,693,512"
"8,282",2006,Baruto No Gakuen,
