tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt2543164,arrival,2016,"Drama,Mystery,Sci-Fi",61569999.99999999,131715442.09,nm0898288,denis villeneuve,"FilmNation Entertainment, Lava Bear Films, Reliance Entertainment, Xenolinguistics, 21 Laps Entertainment, Paramount, Stage 6 Films","Canada, India, United States of America","Mandarin, English, Russian"
tt5052448,get out,2017,"Horror,Mystery,Thriller",5772337.8212974295,225554658.35985312,nm1443502,jordan peele,"Monkeypaw Productions, Blumhouse Productions, QC Entertainment",United States of America,English
tt2084970,the imitation game,2014,"Biography,Drama,Thriller",18595690.747782003,121038212.75538656,nm0878763,morten tyldum,"Bristol Automotive, Black Bear Pictures, The Weinstein Company, FilmNation Entertainment","United Kingdom, United States of America",English
tt1727824,bohemian rhapsody,2018,"Biography,Drama,Music",65108721.62485065,270831420.87455195,nm0001741,bryan singer,"GK Films, Regency Enterprises, Queen Films, Tribeca Productions, New Regency Pictures, 20th Century Fox","United Kingdom, United States of America",English
tt0120689,the green mile,1999,"Crime,Drama,Fantasy",113229291.71668667,258165378.06482592,nm0001104,frank darabont,"Castle Rock Entertainment, Darkwoods Productions, Warner Bros. Pictures, PolyGram Filmed Entertainment",United States of America,"French, English"
tt0382932,ratatouille,2007,"Adventure,Animation,Comedy",227496382.05499274,313104262.5065123,"nm0083348,nm0684342","brad bird,jan pinkava","Pixar, Walt Disney Pictures",United States of America,"English, French"
tt3783958,la la land,2016,"Comedy,Drama,Music",39299999.99999999,197943361.93,nm3227090,damien chazelle,"Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate",United States of America,English
tt5013056,dunkirk,2017,"Action,Drama,History",192411260.70991433,243808515.8384333,nm0634240,christopher nolan,"Warner Bros. Pictures, Syncopy, RatPac Entertainment","France, Netherlands, United Kingdom, United States of America","English, French, German"
tt2245084,big hero,2014,"Action,Adventure,Animation",219163498.0988593,295575619.44740176,"nm2320658,nm0930261","don hall,chris williams","Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English
tt0482571,the prestige,2006,"Drama,Mystery,Sci-Fi",62380952.38095238,82794949.0595238,nm0634240,christopher nolan,"Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy","United Kingdom, United States of America",English
tt0120815,saving private ryan,1998,"Drama,War",135018404.90797547,417274544.3190184,nm0000229,steven spielberg,"Paramount, Amblin Entertainment, Mutual Film Company, DreamWorks Pictures, The Mark Gordon Company",United States of America,"Czech, German, English, French"
tt3890160,baby driver,2017,"Action,Crime,Drama",43613219.094247244,138312733.63035497,nm0942367,edgar wright,"Big Talk Productions, Working Title Films",United Kingdom,English
tt0108052,schindlers list,1993,"Biography,Drama,History",47867128.02768166,210830369.4062284,nm0000229,steven spielberg,Amblin Entertainment,United States of America,"German, Polish, Hebrew, English"
tt1454468,gravity,2013,"Drama,Sci-Fi,Thriller",141682403.4334764,369848697.21888405,nm0190859,alfonso cuarón,"Esperanto Filmoj, Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America",English
