release_date,title,production_budget,domestic_gross
"May 3, 1944",Going My Way,,"$16,300,000"
"Jun 25, 2019",Cinderella II: Dreams Come …,,
"Feb 6, 2007",Cinderella III: A Twist in …,,
"Feb 15, 1950",Cinderella,"$2,900,000","$85,000,000"
"Jun 15, 2018",Incredibles 2,"$200,000,000","$608,581,744"
"Nov 5, 2004",The Incredibles,"$92,000,000","$261,441,092"
1979,The Concorde: Airport '79,,"$13,000,000"
"Mar 11, 1977",Airport '77,,"$30,000,000"
"Oct 18, 1974",Airport 1975,,"$47,285,152"
"Mar 5, 1970",Airport,,"$100,489,150"
"May 24, 1990",Back to the Future Part III,"$40,000,000","$88,055,283"
"Nov 22, 1989",Back to the Future Part II,"$40,000,000","$118,450,002"
"Jul 3, 1985",Back to the Future,"$19,000,000","$215,612,287"
"Dec 22, 2021",The Matrix Resurrections,"$190,000,000","$40,463,197"
"Nov 5, 2003",The Matrix Revolutions,"$150,000,000","$139,270,910"
"May 15, 2003",The Matrix Reloaded,"$150,000,000","$281,553,689"
"Mar 31, 1999",The Matrix,"$65,000,000","$174,304,288"
"Oct 14, 2022",Halloween Ends,"$20,000,000","$64,079,860"
"Oct 15, 2021",Halloween Kills,"$20,000,000","$92,002,155"
"Oct 19, 2018",Halloween,"$10,000,000","$159,366,015"
"Aug 28, 2009",Halloween 2,"$15,000,000","$33,392,973"
"Jul 12, 2002",Halloween: Resurrection,"$15,000,000","$30,259,652"
"Aug 5, 1998",Halloween: H2O,"$17,000,000","$55,041,738"
"Sep 29, 1995",Halloween: The Curse of Mic…,"$5,000,000","$15,126,948"
"Oct 13, 1989",Halloween 5: The Revenge of…,"$6,000,000","$11,642,254"
"Oct 1, 1988",Halloween 4: The Return of …,"$5,000,000","$17,768,757"
"Oct 22, 1982",Halloween 3: Season of the …,"$2,500,000","$14,400,000"
"Oct 30, 1981",Halloween II,"$2,500,000","$25,533,818"
"Dec 13, 2019",Jumanji: The Next Level,"$125,000,000","$316,831,246"
"Dec 20, 2017",Jumanji: Welcome to the Jungle,"$90,000,000","$404,508,916"
"Nov 11, 2005",Zathura,"$65,000,000","$28,045,540"
"Dec 15, 1995",Jumanji,"$65,000,000","$100,458,310"
"Jan 17, 2014",Jack Ryan: Shadow Recruit,"$60,000,000","$50,577,412"
"May 31, 2002",The Sum of All Fears,"$68,000,000","$118,471,320"
"Aug 3, 1994",Clear and Present Danger,"$62,000,000","$122,012,656"
"Jun 5, 1992",Patriot Games,"$45,000,000","$83,287,363"
"Mar 2, 1990",The Hunt for Red October,"$30,000,000","$120,709,866"
"Jun 14, 2024",Inside Out 2,"$200,000,000","$652,980,194"
"Jun 19, 2015",Inside Out,"$175,000,000","$356,461,711"
"Dec 1, 2023",Godzilla Minus One (ゴジラ最新作)…,"$15,000,000","$57,144,669"
"May 31, 2019",Godzilla: King of the Monsters,"$170,000,000","$110,500,138"
"Oct 11, 2016",Shin Godjira,,"$1,908,028"
"May 16, 2014",Godzilla,"$160,000,000","$200,676,069"
Unknown,Gojira: Fainaru uozu,,
"May 7, 2004",Gojira,,"$491,389"
"Aug 18, 2000",Godzilla 2000,"$1,000,000","$10,037,390"
"Dec 31, 1989",Gojira tai Biorante,,
"Sep 3, 2013",The Jungle Book: Return 2 t…,,
"Feb 14, 2003",The Jungle Book 2,"$20,000,000","$47,901,582"
"Oct 18, 1967",The Jungle Book,,"$141,843,000"
"Nov 24, 2027",Frozen III,,
"Nov 22, 2019",Frozen II,"$150,000,000","$477,373,578"
"Nov 13, 2018",Olaf’s Frozen Adventure,,
"Nov 22, 2013",Frozen,"$150,000,000","$400,953,009"
"Feb 14, 2013",A Good Day to Die Hard,"$92,000,000","$67,349,198"
"Jun 27, 2007",Live Free or Die Hard,"$110,000,000","$134,529,403"
"May 19, 1995",Die Hard: With a Vengeance,"$90,000,000","$100,012,499"
"Jul 3, 1990",Die Hard 2,"$70,000,000","$117,323,878"
"Jul 15, 1988",Die Hard,"$28,000,000","$85,892,546"
"Feb 6, 2009",The Pink Panther 2,,"$35,922,978"
"Feb 10, 2006",The Pink Panther,"$80,000,000","$82,226,474"
1993,Son of the Pink Panther,,"$2,457,574"
"Aug 12, 1983",Curse of the Pink Panther,,"$3,374,312"
"Dec 17, 1982",Trail of the Pink Panther,,"$7,201,697"
"Jul 21, 1978",Revenge of the Pink Panther,,"$37,337,746"
"Dec 15, 1976",The Pink Panther Strikes Again,,"$33,833,201"
"May 16, 1975",The Return of the Pink Panther,"$5,000,000","$41,833,347"
"Jul 19, 1968",Inspector Clouseau,,
"Jun 23, 1964",A Shot in the Dark,,"$12,368,234"
"Aug 1, 2008",The Mummy: Tomb of the Drag…,"$175,000,000","$102,491,776"
"Apr 19, 2002",The Scorpion King,"$60,000,000","$90,580,000"
"May 4, 2001",The Mummy Returns,"$98,000,000","$202,007,640"
"May 7, 1999",The Mummy,"$80,000,000","$161,538,025"
"Jul 13, 1988",The Dead Pool,,"$37,903,000"
"Dec 9, 1983",Sudden Impact,,"$67,642,693"
1976,The Enforcer,,"$46,200,000"
"Dec 28, 1973",Magnum Force,,"$44,680,473"
"Dec 24, 1971",Dirty Harry,,"$28,153,434"
"Dec 22, 2010",Little Fockers,"$100,000,000","$148,438,600"
"Dec 22, 2004",Meet the Fockers,"$60,000,000","$279,167,575"
"Oct 6, 2000",Meet the Parents,"$55,000,000","$166,225,040"
"Feb 13, 2009",Friday the 13th,"$17,000,000","$65,002,019"
"Aug 15, 2003",Freddy vs. Jason,"$25,000,000","$82,622,655"
"Apr 26, 2002",Jason X,"$14,000,000","$13,121,555"
"Aug 13, 1993",Jason Goes to Hell: The Fin…,"$3,000,000","$15,935,068"
"Jul 28, 1989",Friday the 13th Part VIII: …,"$5,000,000","$14,343,976"
"May 13, 1988",Friday the 13th Part VII: T…,"$2,800,000","$19,170,001"
"Aug 1, 1986",Friday the 13th Part VI: Ja…,"$3,000,000","$19,472,057"
"Mar 22, 1985",Friday the 13th Part V: A N…,"$2,200,000","$21,930,418"
"Apr 13, 1984",Friday the 13th Part IV: Th…,"$2,600,000","$32,980,880"
"Aug 13, 1982",Friday the 13th Part 3,"$2,250,000","$36,690,067"
"Apr 30, 1981",Friday the 13th Part 2,"$1,250,000","$21,722,776"
Unknown,Madagascar 4,,
"Nov 26, 2014",Penguins of Madagascar,"$132,000,000","$83,350,911"
"Jun 8, 2012",Madagascar 3: Europe's Most…,"$145,000,000","$216,391,482"
"Nov 7, 2008",Madagascar: Escape 2 Africa,"$150,000,000","$180,174,880"
"May 27, 2005",Madagascar,"$75,000,000","$193,595,521"
"Oct 13, 2009",Endless Bummer,,
"May 13, 2008",National Lampoon's Cattle Call,,
"Apr 15, 2008",National Lampoon Presents: …,,
"Mar 21, 2008",National Lampoon's Bagboy,,
"Nov 9, 2007",Electric Apricot,,
"Dec 1, 2006",Van Wilder Deux: The Rise o…,,"$4,261,350"
"Oct 21, 2005",National Lampoon's Barely L…,,"$26,511"
"Apr 5, 2002",National Lampoon’s Van Wild…,"$6,000,000","$21,305,259"
"Feb 14, 1997",Vegas Vacation,,"$36,470,465"
"Jul 26, 1985",National Lampoon's European…,,"$49,400,000"
"Oct 29, 1982",National Lampoon's Class Re…,,"$16,550,727"
"Jul 28, 1978",National Lampoon’s Animal H…,"$3,000,000","$141,600,000"
"May 30, 2025",Karate Kid: Legends,,
"Jun 11, 2010",The Karate Kid,"$40,000,000","$176,591,618"
"Aug 12, 1994",The Next Karate Kid,,"$8,751,228"
"Jun 30, 1989","The Karate Kid, Part III",,"$38,793,278"
"Jun 20, 1986","The Karate Kid, Part II",,"$115,103,979"
"Feb 18, 1983",The Sting II,,"$6,347,072"
"Dec 25, 1973",The Sting,"$5,500,000","$159,616,327"
"Sep 5, 2025",The Conjuring: Last Rites,,
"Sep 8, 2023",The Nun II,"$38,000,000","$86,270,590"
"Jun 4, 2021",The Conjuring: The Devil Ma…,"$40,000,000","$65,631,050"
"Jun 26, 2019",Annabelle Comes Home,"$27,000,000","$74,152,591"
"Apr 19, 2019",The Curse of La Llorona,"$9,000,000","$54,733,739"
"Sep 7, 2018",The Nun,"$22,000,000","$117,450,119"
"Aug 11, 2017",Annabelle: Creation,"$15,000,000","$102,092,201"
"Jun 10, 2016",The Conjuring 2: The Enfiel…,"$40,000,000","$102,470,008"
"Oct 3, 2014",Annabelle,"$6,500,000","$84,273,813"
"Jul 19, 2013",The Conjuring,"$20,000,000","$137,400,141"
"Aug 10, 2007",Rush Hour 3,"$180,000,000","$140,125,968"
"Aug 3, 2001",Rush Hour 2,"$90,000,000","$226,164,286"
"Sep 18, 1998",Rush Hour,"$35,000,000","$141,186,864"
"Jul 25, 2002",Austin Powers in Goldmember,"$63,000,000","$213,117,789"
"Jun 10, 1999",Austin Powers: The Spy Who …,"$35,000,000","$206,040,085"
"May 2, 1997",Austin Powers: Internationa…,"$18,000,000","$53,883,989"
"Jun 16, 2004",Around the World in 80 Days,"$110,000,000","$24,004,159"
"Dec 18, 2015",Alvin and the Chipmunks: Th…,"$90,000,000","$85,886,987"
"Dec 16, 2011",Alvin and the Chipmunks: Ch…,"$80,000,000","$133,107,389"
"Mar 30, 2010",Alvin and the Chipmunks: Al…,,
"Dec 14, 2007",Alvin and the Chipmunks,"$55,000,000","$217,326,974"
"Feb 25, 2022",Tyler Perry’s A Madea Homec…,"$20,000,000",
"Mar 1, 2019",Tyler Perry’s A Madea Famil…,"$20,000,000","$73,257,045"
"Oct 20, 2017",Tyler Perry’s Boo 2! A Made…,"$20,000,000","$47,319,572"
"Oct 21, 2016",Tyler Perry’s Boo! A Madea …,"$20,000,000","$73,206,343"
"Jan 20, 2015",Tyler Perry’s Madea's Tough…,,
"Dec 13, 2013",Tyler Perry's A Madea Chris…,"$25,000,000","$52,543,354"
"Jun 29, 2012",Tyler Perry's Madea's Witne…,"$20,000,000","$65,653,242"
"Apr 22, 2011",Madea’s Big Happy Family,"$25,000,000","$53,345,287"
"Sep 11, 2009",I Can Do Bad All By Myself,"$19,000,000","$51,733,921"
"Feb 20, 2009",Madea Goes To Jail,"$17,500,000","$90,508,336"
"Mar 21, 2008",Meet the Browns,"$20,000,000","$41,975,388"
"Feb 24, 2006",Madea's Family Reunion,"$10,000,000","$63,257,940"
"Feb 25, 2005",Diary of a Mad Black Woman,"$5,500,000","$50,406,346"
"Mar 8, 2024",Kung Fu Panda 4,"$85,000,000","$193,590,620"
"Jan 29, 2016",Kung Fu Panda 3,"$140,000,000","$143,528,619"
"May 26, 2011",Kung Fu Panda 2,"$150,000,000","$165,249,063"
"Mar 24, 2009",Secrets of the Furious Five,,
"Jun 6, 2008",Kung Fu Panda,"$130,000,000","$215,727,546"
"Jun 8, 2018",Ocean’s 8,"$70,000,000","$140,218,711"
"Jun 8, 2007",Ocean's Thirteen,"$85,000,000","$117,144,465"
"Dec 10, 2004",Ocean’s Twelve,"$110,000,000","$125,531,634"
"Dec 7, 2001",Ocean’s Eleven,"$85,000,000","$183,417,150"
2025,Sesame Street,,
"Oct 8, 2021",Muppets Haunted Mansion,,
"Mar 21, 2014",Muppets Most Wanted,"$55,000,000","$51,178,893"
"Nov 23, 2011",The Muppets,"$45,000,000","$88,625,922"
"Jul 14, 1999",Muppets From Space,"$24,000,000","$16,304,786"
"Feb 16, 1996",Muppet Treasure Island,,"$34,327,391"
"Dec 11, 1992",The Muppet Christmas Carol,"$12,000,000","$27,379,507"
"Jul 13, 1984",The Muppets Take Manhattan,,"$25,534,703"
"Jun 26, 1981",The Great Muppet Caper,,"$31,206,251"
"Jun 22, 1979",The Muppet Movie,"$8,000,000","$76,657,000"
"Feb 27, 2026",Scream 7,,
"Mar 10, 2023",Scream VI,"$33,000,000","$108,391,107"
"Jan 14, 2022",Scream,"$24,000,000","$81,641,405"
"Apr 15, 2011",Scream 4,"$40,000,000","$38,180,928"
"Feb 4, 2000",Scream 3,"$40,000,000","$89,138,076"
"Dec 12, 1997",Scream 2,"$24,000,000","$101,363,301"
"Aug 12, 1983",Smokey and the Bandit III,,"$7,000,000"
"Aug 15, 1980",Smokey and the Bandit II,,"$66,132,626"
"May 27, 1977",Smokey and the Bandit,,"$126,737,428"
"May 23, 2013",The Hangover 3,"$103,000,000","$112,200,072"
"May 26, 2011",The Hangover Part II,"$80,000,000","$254,464,305"
"Jun 5, 2009",The Hangover,"$35,000,000","$277,322,503"
"Jul 15, 1983",Staying Alive,"$22,000,000","$63,841,474"
"Dec 16, 1977",Saturday Night Fever,,"$139,486,124"
"Feb 9, 2007",Hannibal Rising,"$50,000,000","$27,669,725"
"Oct 4, 2002",Red Dragon,"$78,000,000","$92,955,420"
"Feb 9, 2001",Hannibal,"$87,000,000","$165,092,266"
"Feb 14, 1991",The Silence of the Lambs,"$20,000,000","$130,726,716"
"Aug 15, 1986",Manhunter,,"$8,620,929"
"Jun 21, 2013",Monsters University,"$200,000,000","$268,488,329"
"Nov 2, 2001","Monsters, Inc.","$115,000,000","$290,149,425"
"Sep 20, 2019",Rambo: Last Blood,"$50,000,000","$44,819,352"
"Jan 25, 2008",Rambo,"$47,500,000","$42,754,105"
"May 25, 1988",Rambo III,"$58,000,000","$53,715,611"
"May 22, 1985",Rambo: First Blood Part II,"$44,000,000","$150,415,432"
"Oct 22, 1982",First Blood,"$14,000,000","$47,212,904"
"Jun 22, 2005",Herbie: Fully Loaded,"$50,000,000","$66,010,682"
1980,Herbie Goes Bananas,,"$17,000,000"
"Jun 24, 1977",Herbie Goes to Monte Carlo,,"$28,000,000"
"Mar 29, 1974",Herbie Rides Again,,"$31,765,098"
"Mar 13, 1969",The Love Bug,,"$50,576,808"
"Jun 24, 2016",Independence Day: Resurgence,"$165,000,000","$103,144,286"
"Jul 2, 1996",Independence Day,"$75,000,000","$306,169,255"
"Jul 19, 2024",Twisters,"$155,000,000","$267,762,265"
"May 10, 1996",Twister,"$88,000,000","$245,219,182"
"Jun 16, 2017",Cars 3,"$175,000,000","$152,901,115"
"Jun 24, 2011",Cars 2,"$200,000,000","$191,450,875"
"Jun 9, 2006",Cars,"$70,000,000","$244,082,982"
"Jun 7, 2024",Bad Boys: Ride or Die,"$100,000,000","$193,573,217"
"Jan 17, 2020",Bad Boys For Life,"$90,000,000","$204,417,855"
"Jul 18, 2003",Bad Boys II,"$130,000,000","$138,540,870"
"Apr 7, 1995",Bad Boys,"$23,000,000","$65,647,413"
"Dec 10, 2010",The Chronicles of Narnia: T…,"$155,000,000","$104,386,950"
"May 16, 2008",The Chronicles of Narnia: P…,"$225,000,000","$141,621,490"
"Jun 11, 1982",Grease 2,,"$14,297,083"
"Jun 16, 1978",Grease,"$6,000,000","$188,620,000"
"Apr 12, 2013",Scary Movie V,"$20,000,000","$32,015,787"
"Apr 14, 2006",Scary Movie 4,"$40,000,000","$90,710,620"
"Oct 24, 2003",Scary Movie 3,"$45,000,000","$110,000,082"
"Jul 4, 2001",Scary Movie 2,"$45,000,000","$71,277,420"
"Jul 7, 2000",Scary Movie,"$19,000,000","$157,019,771"
"Dec 11, 2020",The Very Excellent Mr. Dundee,,
"Apr 20, 2001",Crocodile Dundee in Los Ang…,"$25,000,000","$25,590,119"
"May 25, 1988",Crocodile Dundee 2,"$14,000,000","$109,306,210"
"Sep 26, 1986",Crocodile Dundee,"$8,800,000","$174,803,506"
"Apr 30, 2010",A Nightmare on Elm Street,"$35,000,000","$63,075,011"
"Oct 14, 1994",Wes Craven's New Nightmare,"$8,000,000","$18,090,181"
"Sep 13, 1991",Freddy’s Dead: The Final Ni…,"$5,000,000","$34,872,033"
"Aug 11, 1989",A Nightmare On Elm Street: …,"$6,000,000","$22,168,359"
"Aug 19, 1988",A Nightmare on Elm Street 4…,"$13,000,000","$49,369,899"
"Feb 27, 1987",A Nightmare On Elm Street 3…,"$5,000,000","$44,793,222"
"Nov 1, 1985",A Nightmare on Elm Street P…,"$3,000,000","$21,163,999"
"Jun 20, 2003",Hulk,"$137,000,000","$132,177,234"
"Dec 9, 2022",Night at the Museum: Kahmun…,,
"Dec 19, 2014",Night at the Museum: Secret…,"$127,000,000","$113,746,621"
"May 22, 2009",Night at the Museum: Battle…,"$150,000,000","$177,243,721"
"Dec 22, 2006",Night at the Museum,"$110,000,000","$250,863,268"
"Dec 31, 1999",Fantasia 2000,"$80,000,000","$60,507,228"
"Nov 13, 1940",Fantasia,"$2,280,000","$83,320,000"
"Sep 29, 2023",Saw X,"$13,000,000","$53,607,898"
"May 14, 2021",Spiral,"$20,000,000","$23,216,862"
"Oct 27, 2017",Jigsaw,"$10,000,000","$38,052,832"
"Oct 29, 2010",Saw 3D,"$17,000,000","$45,710,178"
"Oct 23, 2009",Saw VI,"$11,000,000","$27,693,292"
"Oct 24, 2008",Saw V,"$10,800,000","$56,746,769"
"Oct 26, 2007",Saw IV,"$10,000,000","$63,300,095"
"Oct 27, 2006",Saw III,"$10,000,000","$80,238,724"
"Oct 28, 2005",Saw II,"$5,000,000","$87,025,093"
"Oct 29, 2004",Saw,"$1,200,000","$55,968,727"
"Nov 3, 2006",The Santa Clause 3: The Esc…,,"$84,500,122"
"Nov 1, 2002",The Santa Clause 2,"$65,000,000","$139,225,854"
"Nov 11, 1994",The Santa Clause,"$22,000,000","$145,539,357"
"Jun 15, 1979",Butch and Sundance: The Ear…,,
"Oct 24, 1969",Butch Cassidy and the Sunda…,"$6,000,000","$102,308,900"
"Nov 27, 2024",Moana 2,"$150,000,000","$457,663,563"
"Nov 23, 2016",Moana,"$150,000,000","$248,757,044"
"Apr 6, 2012",American Reunion,"$50,000,000","$56,758,835"
"Dec 22, 2009",American Pie Presents: The …,,
"Dec 23, 2007",American Pie Presents: Beta…,,
"Dec 26, 2005",American Pie Presents: Band…,,
"Aug 1, 2003",American Wedding,"$55,000,000","$104,354,205"
"Aug 10, 2001",American Pie 2,"$30,000,000","$145,096,820"
"Jul 9, 1999",American Pie,"$12,000,000","$101,800,948"
"Apr 28, 2020",LEGO DC: Shazam — Magic & M…,,
"Feb 8, 2019",The LEGO Movie 2: The Secon…,"$99,000,000","$105,806,508"
"Jul 31, 2018",Lego DC Super Heroes: Aquam…,,
"Feb 13, 2018",Lego DC Super Heroes: The F…,,
"Sep 22, 2017",The Lego Ninjago Movie,"$70,000,000","$59,281,555"
"Jun 7, 2016",LEGO DC Super Heroes: Justi…,,
"Apr 12, 2016",Lego Scooby-Doo: Haunted Ho…,,
"Mar 1, 2016",Lego DC Super Heroes: Justi…,,
"Feb 10, 2015",LEGO: DC Comics Super Heroe…,,
"Feb 7, 2014",The Lego Movie,"$60,000,000","$258,364,131"
"Aug 3, 1979",More American Graffiti,,"$8,100,000"
"Aug 11, 1973",American Graffiti,"$777,000","$115,557,835"
"Jun 13, 2025",How to Train Your Dragon,,
"Nov 24, 2020",Dragons: Rescue Riders: Hut…,,
"Feb 22, 2019",How to Train Your Dragon: T…,"$129,000,000","$160,799,505"
"Jun 13, 2014",How to Train Your Dragon 2,"$145,000,000","$177,002,924"
"Nov 15, 2011",Dragons: Gift of the Night …,,
"Jul 29, 2015",Vacation,"$31,000,000","$58,884,188"
"Dec 1, 1989",National Lampoon’s Christma…,,"$77,934,887"
"Jul 29, 1983",National Lampoon’s Vacation,"$15,000,000","$61,400,000"
"Aug 26, 1994",Police Academy 7: Mission t…,"$10,000,000","$126,247"
"Mar 10, 1989",Police Academy 6: City Unde…,,"$11,567,000"
"Mar 18, 1988",Police Academy 5: Assignmen…,,"$19,510,000"
"Apr 3, 1987",Police Academy 4: Citizens …,,"$28,061,343"
"Mar 21, 1986",Police Academy 3: Back in T…,,"$43,579,163"
"Mar 29, 1985",Police Academy 2: Their Fir…,,"$55,337,042"
"Mar 23, 1984",Police Academy,"$4,500,000","$81,198,894"
"May 5, 1961",Return to Peyton Place,,"$9,996,178"
"Dec 12, 1957",Peyton Place,,"$25,600,000"
"Aug 11, 1993",Psycho IV: The Beginning,,
"Jul 2, 1986",Psycho III,,"$14,481,606"
"Jun 3, 1983",Psycho II,,"$32,000,000"
"Mar 8, 1960",Psycho,,"$32,181,230"
"Jun 7, 2019",The Secret Life of Pets 2,"$80,000,000","$159,214,420"
"Jul 8, 2016",The Secret Life of Pets,"$75,000,000","$369,094,830"
"Sep 6, 2019",It: Chapter Two,"$70,000,000","$211,593,228"
"Sep 8, 2017",It,"$35,000,000","$328,828,874"
"Dec 21, 2007",National Treasure: Book of …,,"$219,961,501"
"Nov 19, 2004",National Treasure,"$100,000,000","$173,005,002"
"Jul 21, 2023",Barbie,"$145,000,000","$636,785,476"
"Dec 7, 2021",Barbie Princess Adventure,,
"Apr 16, 2021",Barbie & Chelsea: The Lost …,,
"Mar 5, 2019",Barbie Dreamtopia: Festival…,,
"Oct 4, 2016",Barbie & Her Sisters in a P…,,
"Sep 13, 2016",Barbie: Star Light Adventure,,
"Oct 27, 2015",Barbie & Her Sisters in The…,,
"Aug 18, 2015",Barbie in Rock'n Royals,,
"Mar 3, 2015",Barbie in Princess Power,,
"Mar 11, 2014",Barbie: The Pearl Princess,,
"Aug 27, 2013",Barbie Mariposa and the Fai…,,
"Feb 26, 2013",Barbie in the Pink Shoes,,
"Sep 11, 2012",Barbie: The Princess & The …,,
"Mar 6, 2012",Barbie in a Mermaid Tale 2,,
"Nov 8, 2011",Barbie: A Perfect Christmas,,
"Sep 13, 2011",Barbie: Princess Charm School,,
"Mar 15, 2011",Barbie: A Fairy Secret,,
"Oct 5, 2010",Barbie in the Nutcracker,,
"Sep 14, 2010",Barbie: A Fashion Fairytale,,
"Mar 9, 2010",Barbie in a Mermaid Tale,,
"Feb 5, 2010",Barbie as the Princess and …,,
"Jan 5, 2010",Barbie and the Magic of Peg…,,
"Jan 5, 2010",Barbie of Swan Lake,,
"Sep 15, 2009",Barbie and the Three Musket…,,
"Mar 17, 2009",Barbie Presents Thumbelina,,
"Nov 4, 2008",Barbie in a Christmas Carol,,
"Sep 9, 2008",Barbie and the Diamond Castle,,
"Feb 26, 2008",Barbie Mariposa,,
"Sep 18, 2007",Barbie as The Island Princess,,
"Mar 13, 2007",Barbie Fairytopia - Magic o…,,
"Sep 19, 2006",Barbie in the 12 Dancing Pr…,,
"May 9, 2006",The Barbie Diaries,,
"Mar 14, 2006",Barbie Fairytopia: Mermaidia,,
"Oct 1, 2002",Barbie as Rapunzel,,
"Nov 21, 1990",3 Men and a Little Lady,,"$71,609,321"
"Nov 25, 1987",3 Men and a Baby,"$15,000,000","$167,780,960"
"Apr 3, 2026",Untitled New Animated Film …,,
"Apr 5, 2023",The Super Mario Bros. Movie,"$100,000,000","$574,934,330"
"May 28, 1993",Super Mario Bros.,"$42,000,000","$20,844,907"
"Sep 22, 2023",Spy Kids: Armaggedon,,
"Aug 19, 2011",Spy Kids: All the Time in t…,"$27,000,000","$38,536,376"
"Jul 25, 2003",Spy Kids 3-D: Game Over,"$40,000,000","$111,760,631"
"Aug 7, 2002",Spy Kids 2: The Island of L…,"$38,000,000","$85,846,296"
"Mar 30, 2001",Spy Kids,"$35,000,000","$112,692,062"
"Jan 14, 2022",Hotel Transylvania: Transfo…,,
Unknown,Monster Pets: A Hotel Trans…,,
"Jul 13, 2018",Hotel Transylvania 3: Summe…,"$65,000,000","$167,500,092"
"Sep 25, 2015",Hotel Transylvania 2,"$80,000,000","$169,700,110"
"Sep 28, 2012",Hotel Transylvania,"$85,000,000","$148,313,048"
"Mar 6, 1998",U.S. Marshals,"$60,000,000","$57,833,603"
"Aug 6, 1993",The Fugitive,"$44,000,000","$183,968,665"
"Dec 7, 1984",2010,,"$41,000,000"
"Apr 2, 1968",2001: A Space Odyssey,"$10,500,000","$59,936,321"
"Dec 20, 2024",Sonic the Hedgehog 3,"$122,000,000","$234,473,000"
"Apr 8, 2022",Sonic the Hedgehog 2,"$90,000,000","$190,872,904"
"Feb 14, 2020",Sonic The Hedgehog,"$90,000,000","$146,066,470"
"May 20, 2022",Jackass 4.5,,
"Feb 4, 2022",jackass forever,"$10,000,000","$57,743,451"
"Jul 8, 2014",Jackass Presents: Bad Grand…,,
"Oct 25, 2013",Jackass Presents: Bad Grandpa,"$15,000,000","$102,003,019"
"Jun 14, 2011",Jackass 3.5,,
"Oct 15, 2010",Jackass 3D,"$20,000,000","$117,229,692"
"Dec 26, 2007",Jackass 2.5,,
"Sep 22, 2006",Jackass: Number Two,"$11,000,000","$72,778,712"
"Oct 25, 2002",Jackass: The Movie,"$2,000,000","$64,282,312"
"Oct 28, 2016",Inferno,"$75,000,000","$34,343,574"
"May 15, 2009",Angels & Demons,"$150,000,000","$133,375,846"
"May 19, 2006",The Da Vinci Code,"$125,000,000","$217,536,138"
"Jun 15, 1990",Gremlins 2: The New Batch,"$50,000,000","$41,476,097"
"Jun 8, 1984",Gremlins,"$11,000,000","$151,937,605"
"May 25, 1979",Beyond the Poseidon Adventure,,
"Dec 13, 1972",The Poseidon Adventure,,"$93,300,000"
"Jun 22, 2007",Evan Almighty,"$175,000,000","$100,289,690"
"May 23, 2003",Bruce Almighty,"$81,000,000","$242,704,995"
"Dec 15, 2023",Wonka,"$125,000,000","$218,581,815"
"Jul 15, 2005",Charlie and the Chocolate F…,"$150,000,000","$206,459,076"
"Jun 30, 1971",Willy Wonka & the Chocolate…,"$3,000,000","$4,077,971"
"Oct 1, 2021",The Addams Family 2,,"$56,489,153"
"Oct 11, 2019",The Addams Family,"$24,000,000","$97,864,733"
"Nov 19, 1993",Addams Family Values,"$47,000,000","$46,293,855"
"May 26, 2023",The Little Mermaid,"$250,000,000","$298,172,056"
"Dec 16, 2008",The Little Mermaid 2: Retur…,,
"Aug 26, 2008",The Little Mermaid: Ariel's…,,
"Mar 22, 1985",Porky's Revenge,,"$20,518,000"
"Jun 24, 1983",Porky's II: The Next Day,,"$33,759,266"
"Mar 19, 1982",Porky's,"$4,000,000","$109,492,484"
"Nov 7, 2025",Predator: Badlands,"$100,000,000",
"Aug 5, 2022",Prey,"$65,000,000",
"Sep 14, 2018",The Predator,"$88,000,000","$51,024,708"
"Jul 9, 2010",Predators,"$40,000,000","$52,000,688"
"Nov 21, 1990",Predator 2,"$35,000,000","$28,317,513"
"Jun 12, 1987",Predator,"$18,000,000","$59,735,548"
"Aug 1, 2025",Naked Gun,,
"Mar 18, 1994",Naked Gun 33 1/3: The Final…,"$30,000,000","$51,041,856"
"Jun 28, 1991",The Naked Gun 2½: The Smell…,"$23,000,000","$86,930,411"
"Dec 2, 1988",The Naked Gun: From the Fil…,,"$78,041,829"
"Jul 28, 2000",Nutty Professor II: The Klumps,"$84,000,000","$123,307,945"
"Jun 28, 1996",The Nutty Professor,"$55,000,000","$128,814,019"
"Jun 6, 2025",Ballerina,,
"Mar 24, 2023",John Wick: Chapter 4,"$100,000,000","$187,131,806"
"May 17, 2019",John Wick: Chapter 3 — Para…,"$75,000,000","$171,016,727"
"Feb 10, 2017",John Wick: Chapter Two,"$40,000,000","$92,029,184"
"Oct 24, 2014",John Wick,"$30,000,000","$43,037,835"
"May 27, 2016",Alice Through the Looking G…,"$170,000,000","$77,042,381"
"Mar 5, 2010",Alice in Wonderland,"$200,000,000","$334,191,110"
"Oct 29, 2021",Paranormal Activity: Next o…,,
"Oct 23, 2015",Paranormal Activity: The Gh…,"$10,000,000","$18,297,124"
"Jan 3, 2014",Paranormal Activity: The Ma…,"$5,000,000","$32,462,372"
"Oct 19, 2012",Paranormal Activity 4,"$5,000,000","$53,900,335"
"Oct 21, 2011",Paranormal Activity 3,"$5,000,000","$104,028,807"
"Oct 20, 2010",Paranormal Activity 2,"$3,000,000","$84,752,907"
"Sep 25, 2009",Paranormal Activity,"$450,000","$107,918,810"
"Sep 8, 2023",My Big Fat Greek Wedding 3,,"$28,496,030"
"Mar 25, 2016",My Big Fat Greek Wedding 2,"$18,000,000","$59,689,605"
