name,domestic_gross,num_movies,avg_gross
Kurt Russell,"$1,429,269,709",37,"$38,628,911"
Zendaya,"$1,425,775,341",11,"$129,615,940"
Jack Nicholson,"$1,394,253,456",30,"$46,475,115"
Jon Hamm,"$1,392,002,331",19,"$73,263,281"
Richard Gere,"$1,379,833,870",47,"$29,358,167"
Emily Blunt,"$1,361,973,753",29,"$46,964,612"
Viggo Mortensen,"$1,358,169,652",26,"$52,237,294"
Jennifer Aniston,"$1,356,297,754",31,"$43,751,540"
Amy Adams,"$1,347,401,928",21,"$64,161,997"
Danny DeVito,"$1,342,719,128",29,"$46,300,660"
James McAvoy,"$1,307,353,501",24,"$54,473,063"
Alan Tudyk,"$1,303,055,799",10,"$130,305,580"
Willem Dafoe,"$1,297,978,890",43,"$30,185,556"
Jonah Hill,"$1,295,692,670",19,"$68,194,351"
Jeff Bridges,"$1,293,143,901",30,"$43,104,797"
Pierce Brosnan,"$1,292,367,490",36,"$35,899,097"
Michael B. Jordan,"$1,287,199,003",19,"$67,747,316"
Melissa McCarthy,"$1,287,139,531",19,"$67,744,186"
Chiwetel Ejiofor,"$1,285,724,395",19,"$67,669,705"
Martin Lawrence,"$1,282,886,769",17,"$75,463,928"
Henry Cavill,"$1,269,044,148",14,"$90,646,011"
Gerard Butler,"$1,267,179,956",33,"$38,399,393"
Amy Poehler,"$1,248,751,627",12,"$104,062,636"
Ben Kingsley,"$1,242,200,858",24,"$51,758,369"
Geoffrey Rush,"$1,226,520,583",16,"$76,657,536"
Kevin Kline,"$1,226,094,559",22,"$55,731,571"
Billy Crystal,"$1,218,725,547",16,"$76,170,347"
Jackie Chan,"$1,213,607,859",42,"$28,895,425"
Bryce Dallas Howard,"$1,208,038,896",9,"$134,226,544"
Emma Thompson,"$1,183,435,241",22,"$53,792,511"
Paul Newman,"$1,174,478,569",32,"$36,702,455"
Patrick Stewart,"$1,171,130,148",17,"$68,890,009"
Vince Vaughn,"$1,169,374,445",26,"$44,975,940"
Ben Mendelsohn,"$1,168,059,025",13,"$89,850,694"
Kate Winslet,"$1,164,599,410",29,"$40,158,600"
Kristen Wiig,"$1,163,944,253",19,"$61,260,224"
Charlie Day,"$1,151,276,784",10,"$115,127,678"
Jason Bateman,"$1,141,165,337",21,"$54,341,207"
Mads Mikkelsen,"$1,138,065,227",17,"$66,945,013"
Glen Powell,"$1,138,049,514",15,"$75,869,968"
Anthony Daniels,"$1,135,383,924",3,"$378,461,308"
Emma Stone,"$1,125,123,506",18,"$62,506,861"
Zac Efron,"$1,117,828,064",28,"$39,922,431"
Zach Galifianakis,"$1,116,604,116",16,"$69,787,757"
Tom Hardy,"$1,114,352,109",19,"$58,650,111"
Forest Whitaker,"$1,109,215,857",30,"$36,973,862"
Beyoncé Knowles,"$1,108,225,926",9,"$123,136,214"
Matthew Broderick,"$1,107,663,401",19,"$58,298,074"
Laurence Fishburne,"$1,096,726,138",27,"$40,619,487"
Gal Gadot,"$1,093,992,159",12,"$91,166,013"
Daniel Kaluuya,"$1,090,863,532",6,"$181,810,589"
Tony Hale,"$1,087,727,156",4,"$271,931,789"
Jake Gyllenhaal,"$1,078,342,644",32,"$33,698,208"
Lewis Black,"$1,072,097,758",5,"$214,419,552"
Ice Cube,"$1,069,091,042",26,"$41,118,886"
Queen Latifah,"$1,068,684,356",18,"$59,371,353"
Salma Hayek,"$1,068,489,766",27,"$39,573,695"
Drew Barrymore,"$1,065,438,493",31,"$34,368,984"
Jennifer Lopez,"$1,063,853,837",29,"$36,684,615"
Michael J. Fox,"$1,062,870,337",21,"$50,612,873"
Michael Peña,"$1,058,814,915",21,"$50,419,758"
Viola Davis,"$1,056,832,048",15,"$70,455,470"
Kate McKinnon,"$1,053,091,698",7,"$150,441,671"
Hailee Steinfeld,"$1,053,052,908",14,"$75,218,065"
Javier Bardem,"$1,048,758,046",22,"$47,670,820"
David Spade,"$1,045,458,496",15,"$69,697,233"
Elijah Wood,"$1,044,614,417",23,"$45,418,018"
Justin Long,"$1,040,588,116",27,"$38,540,301"
Jada Pinkett Smith,"$1,039,071,046",10,"$103,907,105"
Colin Firth,"$1,039,004,402",35,"$29,685,840"
Bette Midler,"$1,034,745,455",28,"$36,955,195"
Michael Caine,"$1,029,284,022",36,"$28,591,223"
John Cusack,"$1,023,461,223",59,"$17,346,800"
Susan Sarandon,"$1,014,273,808",55,"$18,441,342"
John Leguizamo,"$1,010,846,401",24,"$42,118,600"
Demi Moore,"$1,010,387,213",28,"$36,085,258"
Phyllis Smith,"$1,009,441,905",2,"$504,720,953"
Aaron Taylor-Johnson,"$1,008,355,824",14,"$72,025,416"
Elizabeth Banks,"$1,004,195,421",25,"$40,167,817"
Florence Kasumba,"$997,467,103",2,"$498,733,552"
Karl Urban,"$990,065,516",12,"$82,505,460"
Holly Hunter,"$980,166,187",9,"$108,907,354"
Jason Momoa,"$975,646,874",14,"$69,689,062"
Benicio del Toro,"$974,749,122",18,"$54,152,729"
Dan Aykroyd,"$973,219,347",18,"$54,067,742"
Will Arnett,"$972,146,515",13,"$74,780,501"
Alec Baldwin,"$970,307,439",31,"$31,300,240"
Meg Ryan,"$969,285,040",27,"$35,899,446"
Tyler Perry,"$968,233,002",20,"$48,411,650"
Bill Hader,"$965,202,832",11,"$87,745,712"
Sacha Baron Cohen,"$951,808,116",11,"$86,528,011"
Jamie Lee Curtis,"$950,434,269",19,"$50,022,856"
Rachel Weisz,"$948,628,619",25,"$37,945,145"
Catherine Zeta-Jones,"$943,350,739",19,"$49,650,039"
Annette Bening,"$940,939,259",27,"$34,849,602"
Catherine O'Hara,"$932,686,431",8,"$116,585,804"
Helena Bonham Carter,"$931,217,785",30,"$31,040,593"
John C. Reilly,"$928,570,322",20,"$46,428,516"
Michael Fassbender,"$925,917,369",27,"$34,293,236"
Miles Teller,"$923,301,085",17,"$54,311,829"
Jodie Foster,"$922,319,212",25,"$36,892,768"
Glenn Close,"$915,791,898",27,"$33,918,218"
Tilda Swinton,"$909,187,578",27,"$33,673,614"
Ed Helms,"$905,565,649",19,"$47,661,350"
Michael Cera,"$900,289,045",14,"$64,306,360"
Anna Kendrick,"$897,750,548",28,"$32,062,520"
Jordana Brewster,"$897,725,082",11,"$81,611,371"
Diane Keaton,"$893,165,557",41,"$21,784,526"
America Ferrera,"$891,577,119",8,"$111,447,140"
Craig T. Nelson,"$890,279,836",4,"$222,569,959"
Ellen DeGeneres,"$879,630,002",4,"$219,907,501"
Sigourney Weaver,"$878,535,435",39,"$22,526,550"
Christopher Walken,"$878,458,254",26,"$33,786,856"
Idina Menzel,"$878,326,587",3,"$292,775,529"
Kate Beckinsale,"$871,430,880",26,"$33,516,572"
Wesley Snipes,"$871,188,076",32,"$27,224,627"
Sarah Vowell,"$870,022,836",2,"$435,011,418"
Denis Leary,"$863,092,234",9,"$95,899,137"
Simu Liu,"$860,835,089",6,"$143,472,515"
Terry Notary,"$859,875,347",2,"$429,937,674"
Tyrese Gibson,"$856,753,406",18,"$47,597,411"
Megan Fox,"$854,218,963",18,"$47,456,609"
Ray Romano,"$853,027,828",10,"$85,302,783"
Amanda Seyfried,"$851,410,211",24,"$35,475,425"
Jessica Alba,"$850,539,415",19,"$44,765,232"
Hayden Christensen,"$849,664,948",13,"$65,358,842"
Ezra Miller,"$846,776,572",10,"$84,677,657"
Donnie Yen,"$841,464,736",25,"$33,658,589"
Rebecca Ferguson,"$837,556,471",8,"$104,694,559"
James Franco,"$835,560,748",43,"$19,431,645"
Danny Glover,"$835,177,186",23,"$36,312,052"
Richard Dreyfuss,"$833,590,368",16,"$52,099,398"
Dan Stevens,"$832,579,015",16,"$52,036,188"
Patrick Wilson,"$831,457,155",21,"$39,593,198"
Tessa Thompson,"$830,826,185",13,"$63,909,707"
Joe Pesci,"$827,513,748",8,"$103,439,219"
Nick Jonas,"$817,651,839",10,"$81,765,184"
Jesse Eisenberg,"$814,258,180",26,"$31,317,622"
Bill Skarsgård,"$810,904,467",12,"$67,575,372"
Sean Connery,"$808,034,786",16,"$50,502,174"
Taron Egerton,"$806,421,642",13,"$62,032,434"
Halle Berry,"$805,100,363",22,"$36,595,471"
Nick Nolte,"$804,955,545",27,"$29,813,168"
Alan Rickman,"$803,524,070",9,"$89,280,452"
Barbra Streisand,"$802,519,097",11,"$72,956,282"
Albert Brooks,"$800,747,209",8,"$100,093,401"
Joaquin Phoenix,"$797,198,000",19,"$41,957,789"
Awkwafina,"$797,037,595",18,"$44,279,866"
John Cena,"$796,152,682",25,"$31,846,107"
Regina Hall,"$783,736,786",20,"$39,186,839"
Keri Russell,"$778,813,119",9,"$86,534,791"
Brendan Fraser,"$778,366,923",20,"$38,918,346"
Jay Ellis,"$775,733,577",4,"$193,933,394"
John Cho,"$773,295,662",11,"$70,299,606"
Anya Taylor-Joy,"$773,139,333",13,"$59,472,256"
Joseph Gordon-Levitt,"$771,335,202",24,"$32,138,967"
Hugh Grant,"$770,086,959",19,"$40,530,893"
Goldie Hawn,"$767,977,695",21,"$36,570,366"
Edward Norton,"$767,133,217",18,"$42,618,512"
Andy Garcia,"$766,570,456",30,"$25,552,349"
Anna Faris,"$763,268,144",16,"$47,704,259"
Lewis James Pullman,"$761,003,408",5,"$152,200,682"
Donald Glover,"$760,897,224",5,"$152,179,445"
Jay Baruchel,"$755,949,215",18,"$41,997,179"
Renée Zellweger,"$754,862,831",23,"$32,820,123"
Michelle Williams,"$754,813,932",21,"$35,943,521"
Steve Buscemi,"$752,021,505",20,"$37,601,075"
Cedric the Entertainer,"$749,580,572",16,"$46,848,786"
Winona Ryder,"$748,311,654",21,"$35,633,888"
Riz Ahmed,"$748,130,518",14,"$53,437,894"
Auli'i Cravalho,"$747,351,288",6,"$124,558,548"
Stellan Skarsgård,"$746,921,588",21,"$35,567,695"
James Caviezel,"$743,021,238",13,"$57,155,480"
Seann William Scott,"$741,155,936",18,"$41,175,330"
Maggie Smith,"$740,067,275",20,"$37,003,364"
Andy Samberg,"$735,450,592",12,"$61,287,549"
Liza Lapira,"$734,139,559",3,"$244,713,186"
Jeff Goldblum,"$733,750,199",18,"$40,763,900"
Kelly Marie Tran,"$733,473,229",3,"$244,491,076"
Kingsley Ben-Adir,"$733,131,591",2,"$366,565,796"
Lea Seydoux,"$732,145,206",20,"$36,607,260"
Heath Ledger,"$730,388,953",8,"$91,298,619"
Timothée Chalamet,"$729,123,933",17,"$42,889,643"
Joonas Suotamo,"$728,970,054",2,"$364,485,027"
Billy Eichner,"$725,468,795",4,"$181,367,199"
Luke Evans,"$723,990,653",16,"$45,249,416"
Julie Walters,"$721,440,010",11,"$65,585,455"
Danny Ramirez,"$718,795,694",2,"$359,397,847"
Greg Tarzan Davis,"$718,732,821",1,"$718,732,821"
Monica Barbaro,"$718,732,821",3,"$239,577,607"
James Marsden,"$718,429,315",21,"$34,210,920"
John Kani,"$713,840,630",3,"$237,946,877"
Ashton Kutcher,"$712,979,502",15,"$47,531,967"
Kevin Spacey,"$711,950,397",21,"$33,902,400"
Alexandra Shipp,"$708,630,554",8,"$88,578,819"
Jane Fonda,"$707,200,135",25,"$28,288,005"
Eric Andre,"$706,429,033",5,"$141,285,807"
Issa Rae,"$702,007,807",6,"$117,001,301"
Mindy Kaling,"$701,593,144",4,"$175,398,286"
Sam Rockwell,"$700,330,778",29,"$24,149,337"
Domhnall Gleeson,"$699,982,160",6,"$116,663,693"
Florence Pugh,"$696,486,813",12,"$58,040,568"
Taraji P. Henson,"$696,381,227",17,"$40,963,602"
Diego Luna,"$696,059,426",8,"$87,007,428"
Eddie Redmayne,"$693,979,559",11,"$63,089,051"
Julianne Moore,"$692,005,817",44,"$15,727,405"
Maya Rudolph,"$691,120,420",18,"$38,395,579"
Helen Mirren,"$690,922,590",28,"$24,675,807"
Jeremy Irons,"$684,871,770",18,"$38,048,432"
Diane Lane,"$683,910,060",27,"$25,330,002"
Ariana Greenblatt,"$683,783,993",3,"$227,927,998"
T.J. Miller,"$683,349,686",7,"$97,621,384"
Emma Mackey,"$682,965,592",6,"$113,827,599"
Maya Hawke,"$681,740,466",6,"$113,623,411"
Jennifer Garner,"$681,468,309",17,"$40,086,371"
Jason Sudeikis,"$681,451,818",21,"$32,450,087"
Dua Lipa,"$681,445,696",2,"$340,722,848"
Djimon Hounsou,"$675,633,669",14,"$48,259,548"
Chevy Chase,"$675,368,204",26,"$25,975,700"
Paul Walter Hauser,"$675,325,736",8,"$84,415,717"
Charlie Sheen,"$674,976,582",28,"$24,106,307"
Jesse McCartney,"$674,055,602",7,"$96,293,657"
Bill Nighy,"$673,314,553",19,"$35,437,608"
Penélope Cruz,"$669,553,814",24,"$27,898,076"
Ayo Edebiri,"$669,026,210",5,"$133,805,242"
James Spader,"$667,233,132",11,"$60,657,557"
Rebel Wilson,"$666,842,924",14,"$47,631,637"
Steve Guttenberg,"$663,134,027",23,"$28,831,914"
William Shatner,"$662,180,578",14,"$47,298,613"
Rowan Atkinson,"$661,912,067",9,"$73,545,785"
Daniel Stern,"$659,414,404",8,"$82,426,801"
Mickey Rourke,"$658,995,340",33,"$19,969,556"
Zachary Quinto,"$657,472,892",10,"$65,747,289"
Marisa Tomei,"$657,281,050",16,"$41,080,066"
Burt Reynolds,"$656,928,724",21,"$31,282,320"
Adele Exarchopoulos,"$656,055,848",7,"$93,722,264"
Matthew Gray Gubler,"$655,956,517",7,"$93,708,074"
Ethan Hawke,"$652,510,447",45,"$14,500,232"
Blake Lively,"$647,906,397",17,"$38,112,141"
Michael Shannon,"$647,809,452",29,"$22,338,257"
Gene Hackman,"$647,512,535",19,"$34,079,607"
Chloë Grace Moretz,"$646,244,242",27,"$23,934,972"
John Candy,"$645,464,572",18,"$35,859,143"
Teri Polo,"$645,197,862",10,"$64,519,786"
Guy Pearce,"$644,902,139",33,"$19,542,489"
Stanley Tucci,"$644,500,598",15,"$42,966,707"
Selena Gomez,"$643,322,376",12,"$53,610,198"
James Earl Jones,"$642,175,182",5,"$128,435,036"
Josh Hutcherson,"$640,384,964",15,"$42,692,331"
Gugu Mbatha-Raw,"$639,251,216",11,"$58,113,747"
Kirsten Dunst,"$639,204,626",26,"$24,584,793"
Hari Nef,"$638,243,563",3,"$212,747,854"
Ritu Arya,"$637,834,006",2,"$318,917,003"
Tiffany Haddish,"$637,066,823",17,"$37,474,519"
Ncuti Gatwa,"$636,238,421",1,"$636,238,421"
Connor Swindells,"$636,238,421",3,"$212,079,474"
Ana Kayne,"$636,238,421",1,"$636,238,421"
Emerald Fennell,"$636,238,421",1,"$636,238,421"
Nicola Coughlan,"$636,238,421",1,"$636,238,421"
Scott Evans,"$636,238,421",2,"$318,119,211"
Jamie Demetriou,"$636,238,421",1,"$636,238,421"
Sharon Rooney,"$636,238,421",1,"$636,238,421"
Elizabeth Debicki,"$635,741,567",7,"$90,820,224"
Felicity Jones,"$635,483,142",14,"$45,391,653"
Gemma Chan,"$632,474,782",3,"$210,824,927"
Gwendoline Christie,"$631,010,296",4,"$157,752,574"
Rose Byrne,"$627,148,563",20,"$31,357,428"
Alfre Woodard,"$623,755,512",11,"$56,705,047"
Isla Fisher,"$620,829,005",17,"$36,519,353"
Kenneth Branagh,"$619,582,416",16,"$38,723,901"
Eva Green,"$619,505,938",19,"$32,605,576"
Whoopi Goldberg,"$618,153,791",27,"$22,894,585"
Chris ‘Ludacris’ Bridges,"$617,186,048",7,"$88,169,435"
Katherine Heigl,"$615,369,331",18,"$34,187,185"
Mila Kunis,"$614,021,862",16,"$38,376,366"
Seth MacFarlane,"$613,192,135",5,"$122,638,427"
Ben Schwartz,"$609,430,514",10,"$60,943,051"
Octavia Spencer,"$609,342,361",16,"$38,083,898"
Huck Milner,"$608,581,744",1,"$608,581,744"
Julie Andrews,"$607,579,874",15,"$40,505,325"
Dolph Lundgren,"$606,768,684",28,"$21,670,310"
Dana Carvey,"$604,319,185",7,"$86,331,312"
Blythe Danner,"$602,399,177",8,"$75,299,897"
Rami Malek,"$601,700,864",11,"$54,700,079"
Chris Tucker,"$601,014,089",5,"$120,202,818"
John Malkovich,"$600,541,121",35,"$17,158,318"
Ian McShane,"$599,273,891",7,"$85,610,556"
Jared Leto,"$598,348,607",11,"$54,395,328"
David Schwimmer,"$594,262,388",5,"$118,852,478"
Ray Winstone,"$593,763,480",9,"$65,973,720"
Macaulay Culkin,"$593,002,942",5,"$118,600,588"
Shameik Moore,"$590,147,063",6,"$98,357,844"
John Oliver,"$588,854,836",2,"$294,427,418"
Nathan Lane,"$586,519,400",7,"$83,788,486"
Hannibal Buress,"$583,060,430",5,"$116,612,086"
Sienna Miller,"$580,739,030",15,"$38,715,935"
Brian Tyree Henry,"$579,941,667",8,"$72,492,708"
Dakota Johnson,"$578,694,497",21,"$27,556,881"
Andrew Garfield,"$574,919,806",13,"$44,224,600"
Jet Li,"$573,626,008",14,"$40,973,286"
Christoph Waltz,"$568,788,968",15,"$37,919,265"
Patrick Swayze,"$568,291,253",21,"$27,061,488"
Anthony Ramos,"$566,958,006",11,"$51,541,637"
Robbie Coltrane,"$566,698,738",5,"$113,339,748"
Val Kilmer,"$566,631,341",20,"$28,331,567"
Lake Bell,"$566,596,497",11,"$51,508,772"
Jay Hernandez,"$562,430,772",8,"$70,303,847"
Ron Perlman,"$561,543,483",27,"$20,797,907"
Sally Field,"$561,222,060",12,"$46,768,505"
John Krasinski,"$559,182,494",13,"$43,014,038"
Zoë Kravitz,"$556,725,223",13,"$42,825,017"
Cynthia Erivo,"$554,672,934",8,"$69,334,117"
Josh Hartnett,"$552,792,551",22,"$25,126,934"
Brittany Snow,"$552,082,794",17,"$32,475,458"
Karen Allen,"$551,902,103",8,"$68,987,763"
Peter Dinklage,"$550,106,019",17,"$32,359,178"
Taylor Swift,"$547,512,665",5,"$109,502,533"
Shailene Woodley,"$546,022,174",18,"$30,334,565"
Jenny Slate,"$545,414,560",12,"$45,451,213"
Sarah Jessica Parker,"$544,085,771",12,"$45,340,481"
JD McCrary,"$543,638,043",1,"$543,638,043"
Shahadi Wright Joseph,"$543,638,043",1,"$543,638,043"
Patrick Gallagher,"$541,853,610",3,"$180,617,870"
Mizuo Peck,"$541,853,610",3,"$180,617,870"
Rick Moranis,"$541,810,671",11,"$49,255,516"
Jai Courtney,"$538,736,605",8,"$67,342,076"
Ellie Kemper,"$538,306,548",2,"$269,153,274"
Georgie Henley,"$537,726,267",5,"$107,545,253"
Skandar Keynes,"$537,719,397",3,"$179,239,799"
Dan Fogler,"$537,407,141",9,"$59,711,905"
Bonnie Hunt,"$536,647,122",4,"$134,161,781"
Eric Stonestreet,"$534,311,934",3,"$178,103,978"
Naomi Scott,"$527,691,984",6,"$87,948,664"
Jordan Peele,"$527,309,139",5,"$105,461,828"
Justin Timberlake,"$521,842,707",12,"$43,486,892"
Kevin Bacon,"$521,681,296",25,"$20,867,252"
Terrence Howard,"$518,043,088",19,"$27,265,426"
William Hurt,"$517,886,741",25,"$20,715,470"
Jimmy Vee,"$515,202,542",2,"$257,601,271"
Michelle Monaghan,"$514,331,851",20,"$25,716,593"
Téa Leoni,"$513,601,034",7,"$73,371,576"
Daniel Day-Lewis,"$511,773,871",15,"$34,118,258"
Scott Eastwood,"$511,764,893",13,"$39,366,530"
